h,cl,cd
0.007604, 1.031296, 0.014688
0.005089, 1.041289, 0.010086
0.003824, 1.043715, 0.008719
0.002554, 1.045341, 0.007835
0.001918, 1.045591, 0.007573
0.001280, 1.045727, 0.007398
