h,cl,cd
0.007604, 1.011645, 0.016173
0.005089, 1.008843, 0.012670
0.003824, 1.008039, 0.011587
0.002554, 1.043021, 0.007961
0.001918, 1.043683, 0.007670
0.001280, 1.043788, 0.007498
