rpts,Alpha,Phi,Cl,Cd,Fx,Fy
0.000000000000000,66.645673907429199,81.102675256104902,0.000000000000000,0.500000000000000,103.939569571580236,-16.269459454532409
1.366700000000000,58.796751126287695,73.253847169215760,0.000000000000000,0.500000000000000,99.180825848661343,-29.937094923814168
4.100000000000000,45.984883066945969,60.441842807541121,0.000000000000000,0.500000000000000,118.559159516772354,-67.680863152457732
6.833300000000000,32.243209561249969,46.699847628339406,0.000000000000000,0.350000000000000,99.554759390513382,-94.419751212373356
10.250000000000000,14.527599388791645,28.984470142615283,1.610682734081322,0.173956102107378,1032.044913770839685,440.659559815202726
14.350000000000000,9.028381676662171,21.659292375677925,1.296550173606129,0.012439938460337,1413.625392407242771,550.427495767453706
18.449999999999999,7.185821854285633,18.504279663691928,1.061061820999168,0.011716872211421,1643.949321357858253,533.566696318402364
22.550000000000001,5.506381958810869,15.683911762173947,0.993762785158828,0.008482272928609,2036.914574306292707,556.965011908519614
26.649999999999999,4.484402024304858,13.461546328445580,0.871545533587764,0.005825664642653,2253.606502338660903,526.853091910815237
30.750000000000000,4.540018693047146,12.287791615254385,0.879645040029843,0.005931648495922,2735.526528738270827,580.502496484834523
34.850000000000001,3.729282109486642,10.321814427960629,0.868283617894344,0.005931788106861,3174.389308158052700,559.433926368044922
38.950000000000003,3.824756168268817,9.277479181612099,0.880822571666332,0.005992173809698,3672.499153490774461,578.115110907056078
43.049999999999997,3.829932638669689,8.256825877356595,0.876160874056644,0.006313688846750,4064.237969525668177,563.380010904186520
47.149999999999999,3.769471885506041,7.428985996728744,0.869971956153692,0.006219861727481,4393.161037619443960,544.519613188326730
51.250000000000000,4.098046931619272,7.000806680249076,0.906588679732561,0.006257645505016,4869.160578495796472,567.960615799592688
54.666699999999999,3.589437512410686,5.854104708886913,0.849920941777382,0.005980406878128,4743.104622801228288,456.203695945364302
57.399999999999999,4.061021142643979,5.846194668426640,0.902289021205773,0.006065888682261,4983.599959826680788,480.513564234267847
60.133299999999998,5.152479620649086,6.678912077821458,1.017237475967746,0.006990134936394,4175.808861086401521,463.226350827857289
61.499899999999997,6.009066285976642,7.534251284111453,1.096306152256880,0.008607523657390,4688.312864070705473,585.941834772877314
