h,cl,cd
0.007604, 1.010290, 0.016259
0.005089, 1.011069, 0.012503
0.003824, 1.008039, 0.011587
0.002554, 1.043021, 0.007961
0.001918, 1.043683, 0.007670
0.001280, 1.043787, 0.007498
