z,vv
5.0,0.39512192566615684
15.0,0.6207759361981798
25.0,0.6457789452176004
35.0,0.6146993273526462
45.0,0.5716548454039198
55.0,0.5331272479791389
65.0,0.4989869884678018
75.0,0.47006624551730947
85.0,0.4454006176984663
95.0,0.4240582943084424
105.0,0.40632341719940607
115.0,0.39120454224611584
125.0,0.37784998365272404
135.0,0.3647293974940577
145.0,0.3516506332615133
155.0,0.33957344105283044
165.0,0.32888913608567705
175.0,0.32012632972249094
185.0,0.3131214372952611
195.0,0.3076092067265275
205.0,0.30221804006769176
215.0,0.29547961145172164
225.0,0.28776106968527837
235.0,0.2797450987882039
245.0,0.2715517105915682
255.0,0.26328475757546776
265.0,0.2552148985656905
275.0,0.24804221257649484
285.0,0.24163356448006595
295.0,0.23543187825779713
305.0,0.22923378120197374
315.0,0.22291381068881225
325.0,0.21673160668157956
335.0,0.2109123128170062
345.0,0.20554736147215144
355.0,0.20067286882184315
365.0,0.19649299513798743
375.0,0.19298208510300247
385.0,0.18976830247729498
395.0,0.1870418167507866
405.0,0.18463310749059383
415.0,0.18233399804430042
425.0,0.17998778731840556
435.0,0.17719678823498886
445.0,0.17454220793904582
455.0,0.17279805506488585
465.0,0.1722049799752816
475.0,0.17274004426673364
485.0,0.17428907254940337
495.0,0.1758902895646772
505.0,0.17675406845401218
515.0,0.17743071762075252
525.0,0.17788851748325768
535.0,0.17850268847895742
545.0,0.17917297469822713
555.0,0.17969011557801345
565.0,0.1804633383656027
575.0,0.18159452608167387
585.0,0.18295001051999255
595.0,0.1842610901499548
605.0,0.18504842936646465
615.0,0.1856601390780453
625.0,0.18585380929057496
635.0,0.18505520512789003
645.0,0.18274079685260936
655.0,0.17883333216091382
665.0,0.17430090955717548
675.0,0.16901618469672655
685.0,0.16261549384771223
695.0,0.1552598986970308
705.0,0.14637642804964443
715.0,0.13621480042035713
725.0,0.1247177944728169
735.0,0.11288951337935789
745.0,0.1009402955412679
755.0,0.0893540980520671
765.0,0.07776597010131757
775.0,0.06624842245661913
785.0,0.0555803109130702
795.0,0.04678310367740232
805.0,0.04034772493077227
815.0,0.03379027480929736
825.0,0.02565321364430905
835.0,0.017216029636653668
845.0,0.010989951184125038
855.0,0.0077470466275773526
865.0,0.006226887175100726
875.0,0.005113943607356579
885.0,0.004131322407095945
895.0,0.003386766723130194
905.0,0.0028590168438373657
915.0,0.002475525734279569
925.0,0.0021812077211155394
935.0,0.0019456509025041228
945.0,0.0017537194349622946
955.0,0.0015965333125633496
965.0,0.00146708417948612
975.0,0.001359165851038997
985.0,0.0012685820312281154
995.0,0.0011928792399082276
1005.0,0.0011306828896024824
1015.0,0.001080055958726212
1025.0,0.0010388331040423263
1035.0,0.0010049802845783617
1045.0,0.0009763088541039177
1055.0,0.0009497581174207924
1065.0,0.0009220283112546774
1075.0,0.0008913412533952908
1085.0,0.0008581250005916682
1095.0,0.0008242454845371191
1105.0,0.0007924788050124538
1115.0,0.0007659060619992455
1125.0,0.000747181859212108
1135.0,0.000737847067463765
1145.0,0.0007383744555253901
1155.0,0.0007484979000590137
1165.0,0.0007673230796605908
1175.0,0.00079338047810811
1185.0,0.0008249462453902664
1195.0,0.0008604297586591675
1205.0,0.0008986463022247065
1215.0,0.0009388760874021204
1225.0,0.0009806718459414974
1235.0,0.0010238010947798333
1245.0,0.0010681738426656926
1255.0,0.0011136521837562354
1265.0,0.001159944855701775
1275.0,0.0012065735023204882
1285.0,0.0012529440377472818
1295.0,0.0012983065881517688
1305.0,0.0013417398522368432
1315.0,0.0013822371543428607
1325.0,0.0014189148042888459
1335.0,0.0014512383086627224
1345.0,0.00147905320116946
1355.0,0.0015024174558919195
1365.0,0.0015214281353747347
1375.0,0.0015361323791018638
1385.0,0.0015465619301817213
1395.0,0.0015527531500767844
1405.0,0.0015547309199476164
1415.0,0.0015524597707352401
1425.0,0.0015457719093438507
1435.0,0.0015343548970418164
1445.0,0.0015178158332267097
1455.0,0.00149577734851604
1465.0,0.001467920231917963
1475.0,0.0014339592668110267
1485.0,0.0013936765128335963
1495.0,0.001347083718040385
1505.0,0.0012946103797945368
1515.0,0.0012371763917482877
1525.0,0.0011761226910885119
1535.0,0.0011130899719115962
1545.0,0.001049888582902221
1555.0,0.0009883479294443456
1565.0,0.0009301588118315842
1575.0,0.0008767370855687879
1585.0,0.0008291543400467367
1595.0,0.0007881613655512352
1605.0,0.0007542843885553366
1615.0,0.0007279127718056383
1625.0,0.0007093247690224883
1635.0,0.0006986721678849666
1645.0,0.0006959831717786999
1655.0,0.0007011868711324967
1665.0,0.0007141324805254125
1675.0,0.0007345933552831386
1685.0,0.0007622649692536939
1695.0,0.000796767430483261
1705.0,0.000837667390818766
1715.0,0.0008845362000368001
1725.0,0.0009370539815292467
1735.0,0.0009951247166379731
1745.0,0.0010589440019515882
1755.0,0.0011289841215001346
1765.0,0.0012059037552499133
1775.0,0.0012904052588630262
1785.0,0.0013830875453218724
1795.0,0.0014843615284524704
1805.0,0.0015944621101324082
1815.0,0.001713516756160462
1825.0,0.001841618862761228
1835.0,0.0019788312406833677
1845.0,0.0021249805724170017
1855.0,0.0022790130201761905
1865.0,0.0024378449031441747
1875.0,0.00259534012205502
1885.0,0.002742943073344892
1895.0,0.00287134620065811
1905.0,0.0029675067117495013
1915.0,0.003016453445017702
