z,uu
5.0,0.7631214323162461
15.0,1.3345025931721002
25.0,1.3652673826202837
35.0,1.2713455804662035
45.0,1.1595558518355207
55.0,1.0708562795940515
65.0,1.0023685599229402
75.0,0.9482205730514782
85.0,0.9061231951859056
95.0,0.8727517058283578
105.0,0.843753178522638
115.0,0.817561104988235
125.0,0.7937866341153915
135.0,0.7732807175868288
145.0,0.7572138599936848
155.0,0.7443636095542452
165.0,0.7330017735671874
175.0,0.7221704451827632
185.0,0.7113404655240363
195.0,0.6993644063705182
205.0,0.686401449234023
215.0,0.6733783048543804
225.0,0.6601991155358855
235.0,0.6469675456225745
245.0,0.634763346430762
255.0,0.6243093691316772
265.0,0.6141809097604182
275.0,0.6039163275535161
285.0,0.5938223386639113
295.0,0.5843512078987919
305.0,0.575994375832706
315.0,0.5680963283430704
325.0,0.5603125063319683
335.0,0.5529241642684809
345.0,0.5466792198525656
355.0,0.5417323000315887
365.0,0.5373981456358009
375.0,0.5319076400795981
385.0,0.5244328700993212
395.0,0.5154841696708724
405.0,0.5065365200822076
415.0,0.4981110766020902
425.0,0.48991559697137704
435.0,0.4828016963535
445.0,0.4765523890592339
455.0,0.47052603849953717
465.0,0.46488539479197355
475.0,0.45939007778155455
485.0,0.45394317271451895
495.0,0.44857982740213176
505.0,0.44351232493288
515.0,0.4384978288186047
525.0,0.43348286049392304
535.0,0.42807151985143815
545.0,0.4220607007479745
555.0,0.4154799717178861
565.0,0.40883702561953966
575.0,0.4025891790453748
585.0,0.3967640355759839
595.0,0.3911746390943806
605.0,0.38579239511204927
615.0,0.38033528203983746
625.0,0.37407490063840104
635.0,0.36652581829632913
645.0,0.3576165263024556
655.0,0.3473248674398212
665.0,0.33678459431105734
675.0,0.32515891683497467
685.0,0.31135559666385154
695.0,0.2953042292942502
705.0,0.27568309411494357
715.0,0.2540989056820966
725.0,0.23295579449234913
735.0,0.2166586208158419
745.0,0.2113063586439114
755.0,0.22276848060600665
765.0,0.23866218404433723
775.0,0.22055200746831072
785.0,0.14418396780837228
795.0,0.06293398040603493
805.0,0.02986798110601739
815.0,0.026499574214530905
825.0,0.025477207692753984
835.0,0.02241246867216286
845.0,0.018917060811362397
855.0,0.015897633942481254
865.0,0.013358705318081561
875.0,0.011031893196459272
885.0,0.008905673144314572
895.0,0.007160437308249744
905.0,0.005827368521147032
915.0,0.0048261065715936805
925.0,0.0040572778585589225
935.0,0.00345035217018709
945.0,0.0029656240413429
955.0,0.0025767001561253274
965.0,0.0022613795280904316
975.0,0.0020023779655071942
985.0,0.0017874264191282423
995.0,0.0016076174062441258
1005.0,0.001456360281252469
1015.0,0.0013284140803161398
1025.0,0.0012196125537670968
1035.0,0.0011267725904334628
1045.0,0.0010474652883963901
1055.0,0.0009796093090116355
1065.0,0.000921057920816696
1075.0,0.0008699115960385124
1085.0,0.0008249838722250506
1095.0,0.0007858858601713114
1105.0,0.000752529463247301
1115.0,0.0007248581977981205
1125.0,0.0007027551958727736
1135.0,0.000686063190947
1145.0,0.0006746085059377953
1155.0,0.0006681695318485344
1165.0,0.0006664038765834204
1175.0,0.0006689092450136591
1185.0,0.0006753915352004561
1195.0,0.0006857299872132499
1205.0,0.0006997837391195631
1215.0,0.0007171101110296607
1225.0,0.0007369280748304566
1235.0,0.0007583745199080652
1245.0,0.0007807152905565981
1255.0,0.0008033609000345137
1265.0,0.000825830489186043
1275.0,0.0008476691682282454
1285.0,0.0008683380305690634
1295.0,0.0008872558740467626
1305.0,0.0009039356544577711
1315.0,0.0009180626563009883
1325.0,0.0009295103024686751
1335.0,0.0009383104835477527
1345.0,0.0009445972918509795
1355.0,0.000948588480443032
1365.0,0.0009505526809352464
1375.0,0.000950789982626101
1385.0,0.0009496483405860692
1395.0,0.0009475320328699393
1405.0,0.0009448751612901758
1415.0,0.0009420896847170205
1425.0,0.0009395137378415359
1435.0,0.0009373918344709882
1445.0,0.0009358619339824299
1455.0,0.0009349507192156213
1465.0,0.000934578625601343
1475.0,0.0009345518525714679
1485.0,0.0009345260903762773
1495.0,0.0009339571148123806
1505.0,0.0009320746802982843
1515.0,0.0009279324978252152
1525.0,0.0009205556033161456
1535.0,0.0009091409861462093
1545.0,0.000893233083789197
1555.0,0.0008728054582758945
1565.0,0.0008482367081759161
1575.0,0.0008202046129521985
1585.0,0.0007895489635426783
1595.0,0.0007571596536396944
1605.0,0.0007239251354860639
1615.0,0.0006907264555480187
1625.0,0.0006584354050279611
1635.0,0.0006278971479276392
1645.0,0.0005999023499555898
1655.0,0.0005751668976790365
1665.0,0.000554331630951087
1675.0,0.0005379848882375488
1685.0,0.0005267029328871097
1695.0,0.0005210871760894194
1705.0,0.0005217798739948006
1715.0,0.000529458505544571
1725.0,0.0005448233313230268
1735.0,0.0005686002538248117
1745.0,0.0006015446776413008
1755.0,0.0006443993617530414
1765.0,0.0006977717751321838
1775.0,0.0007619496070977479
1785.0,0.0008367206283056413
1795.0,0.0009212943483188314
1805.0,0.0010144003266952142
1815.0,0.001114571347204211
1825.0,0.0012204966098217805
1835.0,0.001331251403141411
1845.0,0.0014461792754029092
1855.0,0.0015643728006396968
1865.0,0.001683854352633417
1875.0,0.0018008286395292839
1885.0,0.0019097186076186385
1895.0,0.0020041829495860263
1905.0,0.00207560641610691
1915.0,0.002114046931375965
