z,wT
1125.0,-1.931225225294617e-06
1135.0,-3.15054263085169e-06
1145.0,-4.302756649186004e-06
1155.0,-5.3172814614103336e-06
1165.0,-6.116922069701803e-06
1175.0,-6.656628164092125e-06
1185.0,-6.946527656677719e-06
1195.0,-7.029394764364234e-06
1205.0,-6.964112934515662e-06
1215.0,-6.810625865759609e-06
1225.0,-6.6240767825448375e-06
1235.0,-6.4332836849721e-06
1245.0,-6.242734335928217e-06
1255.0,-6.0260471993045306e-06
1265.0,-5.742709066362173e-06
1275.0,-5.3304924460723e-06
1285.0,-4.729051130182261e-06
1295.0,-3.896024828419316e-06
1305.0,-2.846769063199276e-06
1315.0,-1.6434178555981544e-06
1325.0,-3.904367805071781e-07
1335.0,8.068620213091519e-07
1345.0,1.8443166379557922e-06
1355.0,2.6398479548811635e-06
1365.0,3.1242124122549584e-06
1375.0,3.255259471667119e-06
1385.0,3.002407076828325e-06
1395.0,2.357752965772158e-06
1405.0,1.331580176264645e-06
1415.0,-2.3694750638782427e-08
1425.0,-1.6118907834458554e-06
1435.0,-3.2922976552472585e-06
1445.0,-4.902386869613995e-06
1455.0,-6.27422217219792e-06
1465.0,-7.264258811582851e-06
1475.0,-7.759750712968917e-06
1485.0,-7.691355328438483e-06
1495.0,-7.022258087145985e-06
1505.0,-5.753466917771529e-06
1515.0,-3.930978762800316e-06
1525.0,-1.6453529403112509e-06
1535.0,9.693964190568573e-07
1545.0,3.7543742131822963e-06
1555.0,6.5369175211644815e-06
1565.0,9.164494721982953e-06
1575.0,1.1524370302866509e-05
1585.0,1.3568651873160212e-05
1595.0,1.529588724695548e-05
1605.0,1.674750877966112e-05
1615.0,1.7985956550020516e-05
1625.0,1.9075941375578936e-05
1635.0,2.0064667560161795e-05
1645.0,2.0962357788136182e-05
1655.0,2.1760637855153046e-05
1665.0,2.2433983218724242e-05
1675.0,2.296139135845618e-05
1685.0,2.3323835271221638e-05
1695.0,2.3518405450939913e-05
1705.0,2.3533714225684248e-05
1715.0,2.3352682442610492e-05
1725.0,2.2934282500301646e-05
1735.0,2.224171872975081e-05
1745.0,2.1244835759893277e-05
1755.0,1.9944712741103547e-05
1765.0,1.8375935045017176e-05
1775.0,1.661587041834315e-05
1785.0,1.4754103725156005e-05
1795.0,1.288454911774224e-05
1805.0,1.1067466233873907e-05
1815.0,9.347782372247122e-06
1825.0,7.734916231890002e-06
1835.0,6.234224632357653e-06
1845.0,4.840680967936096e-06
1855.0,3.5788072531838658e-06
1865.0,2.493257174983311e-06
1875.0,1.6346971184042667e-06
1885.0,9.89430658408835e-07
1895.0,4.2395796741104193e-07
1905.0,1.3508851409614672e-07
1915.0,1.6360501567096684e-08
