z,TI_horiz
5.0,0.1507176750683451
15.0,0.15618807348245325
25.0,0.1434731995145544
35.0,0.1318746868771275
45.0,0.12242174848332454
55.0,0.11531454807811574
65.0,0.10980942954852385
75.0,0.10537028427914737
85.0,0.10167780922841711
95.0,0.09858444526849547
105.0,0.09592822726288018
115.0,0.09360582917549166
125.0,0.09154933816929306
135.0,0.08972046739139956
145.0,0.0881247495853917
155.0,0.08671365665120491
165.0,0.08546866768300058
175.0,0.08435506598957675
185.0,0.08329829499715478
195.0,0.08227124056279082
205.0,0.08124847578131039
215.0,0.08020466154185583
225.0,0.0791492646949152
235.0,0.07809461873067682
245.0,0.07707097699427683
255.0,0.07608730216442204
265.0,0.07511866668277721
275.0,0.07420702346715884
285.0,0.07337454421371006
295.0,0.07258933098897892
305.0,0.07184937286206286
315.0,0.07114518079784006
325.0,0.0704518447417126
335.0,0.06975740954931312
345.0,0.06910357701847361
355.0,0.06852731085979073
365.0,0.06804424481897517
375.0,0.06759781661544698
385.0,0.06713282421234691
395.0,0.06664113530779103
405.0,0.06614008801803163
415.0,0.06565376460179766
425.0,0.06518495717262746
435.0,0.06472787126324124
445.0,0.06430659967648943
455.0,0.06392230537763148
465.0,0.0635877631216025
475.0,0.06331369531316107
485.0,0.06308888214610298
495.0,0.06286087828329989
505.0,0.06261512887241283
515.0,0.062381760294774026
525.0,0.06214739496765101
535.0,0.06190268746711394
545.0,0.061629144611195515
555.0,0.06132021491494525
565.0,0.060988318796341735
575.0,0.060640277129966
585.0,0.06029201449946351
595.0,0.05993708123015947
605.0,0.059556932746515356
615.0,0.0591443788350288
625.0,0.05864356945378136
635.0,0.05800498760332377
645.0,0.05719972555702204
655.0,0.05622377628689559
665.0,0.05514018436717253
675.0,0.053935047766898433
685.0,0.052539551132554325
695.0,0.05094119343518467
705.0,0.04907626521157214
715.0,0.04695675140931788
725.0,0.04470067702539374
735.0,0.04264626051854219
745.0,0.04117139403611079
755.0,0.04061041429821116
765.0,0.040188701902034184
775.0,0.03752718460236078
785.0,0.0308697626770829
795.0,0.02256710604590266
805.0,0.01748782541051818
815.0,0.015772457678129247
825.0,0.014479126455417598
835.0,0.012830635484683873
845.0,0.01122950460957536
855.0,0.010018897334146095
865.0,0.009116480604961041
875.0,0.008271979832050568
885.0,0.007438442521459193
895.0,0.0066969933930055014
905.0,0.006077334983413359
915.0,0.005563736858198351
925.0,0.005131005276629259
935.0,0.004762189600809019
945.0,0.004447587649571162
955.0,0.0041779697729538625
965.0,0.003944259760245432
975.0,0.003739952415651898
985.0,0.003560816420754466
995.0,0.003403499594475865
1005.0,0.0032651920766901955
1015.0,0.0031432007708939004
1025.0,0.0030354442497100747
1035.0,0.002940697121733615
1045.0,0.0028578209683817932
1055.0,0.0027848126450594453
1065.0,0.002719185917247344
1075.0,0.002659326038747464
1085.0,0.0026050185731808593
1095.0,0.00255689697471213
1105.0,0.0025159650575720277
1115.0,0.0024836810469785887
1125.0,0.0024616808700064245
1135.0,0.002451049747297934
1145.0,0.0024520492828109634
1155.0,0.002464419175546625
1165.0,0.0024874804141314846
1175.0,0.0025200271679235884
1185.0,0.0025603377197410443
1195.0,0.0026065285938960438
1205.0,0.0026568791486611004
1215.0,0.002709835438642539
1225.0,0.0027639077429869887
1235.0,0.0028177763549833796
1245.0,0.0028703758492130286
1255.0,0.002920811636630248
1265.0,0.002968260874190004
1275.0,0.0030119470308015424
1285.0,0.0030512587779585754
1295.0,0.003085826829301451
1305.0,0.0031154960454459874
1315.0,0.0031402165848890664
1325.0,0.0031599855751695415
1335.0,0.003174827977235785
1345.0,0.0031848082681569293
1355.0,0.0031900688135156315
1365.0,0.0031908900439012676
1375.0,0.0031877137882177615
1385.0,0.003181102591715273
1395.0,0.0031716449846149195
1405.0,0.0031598415981707213
1415.0,0.003146016501785032
1425.0,0.0031302759209648457
1435.0,0.0031125480611303782
1445.0,0.003092683696037741
1455.0,0.0030705617082969613
1465.0,0.0030461181591362276
1475.0,0.0030192871754179196
1485.0,0.002989930188976369
1495.0,0.0029578317749106094
1505.0,0.0029227655448828666
1515.0,0.0028845986343921074
1525.0,0.002843403532342585
1535.0,0.0027995540667134777
1545.0,0.002753752970541046
1555.0,0.0027069560438956414
1565.0,0.002660218094355945
1575.0,0.00261452151885425
1585.0,0.0025706563079207346
1595.0,0.0025292095014088395
1605.0,0.0024906586134307886
1615.0,0.0024555062943312964
1625.0,0.0024243822618545408
1635.0,0.0023980746907846778
1645.0,0.0023774939923679023
1655.0,0.002363582731972326
1665.0,0.002357198864016122
1675.0,0.002359007482130592
1685.0,0.0023694086946004964
1695.0,0.002388517153596442
1705.0,0.0024162075719286534
1715.0,0.002452236615472394
1725.0,0.002496431850111465
1735.0,0.00254888065992045
1745.0,0.0026100089971553327
1755.0,0.0026804671096633697
1765.0,0.0027608390412701186
1775.0,0.0028512887883742318
1785.0,0.0029513088934768794
1795.0,0.0030597154267396442
1805.0,0.003174918798411835
1815.0,0.0032953441363898005
1825.0,0.0034198008443461925
1835.0,0.0035476263671837963
1845.0,0.003678449501245299
1855.0,0.0038114580394292014
1865.0,0.00394428315613321
1875.0,0.004072270112100118
1885.0,0.004189324571779451
1895.0,0.004289466576324905
1905.0,0.004364155436116069
1915.0,0.00440292844239759
