kmag,energy,horiz,vertical,kol
0.0044428829381583665,22.30489804222955,22.241794553678744,0.06310348855082089,22121.22587114357
0.0133286488144751,17.530001189554064,17.296695312157272,0.23330587739680278,2139.618192820435
0.022214414690791835,17.24936504523152,16.754903383070303,0.49446166216121606,876.1377750945504
0.031100180567108567,14.4139996443761,13.695952003799052,0.7180476405770269,497.85043379575666
0.0399859464434253,10.887681326563921,10.068823404370036,0.8188579221939073,325.2214420395205
0.048871712319742036,7.484331466143886,6.705786622880815,0.7785448432630654,230.55397410128438
0.05775747819605877,4.9549436474529776,4.303045744852724,0.6518979026002371,174.23547438459076
0.0666432440723755,3.2645388995051543,2.758492679232383,0.506046220272778,137.6162471503072
0.07552900994869223,2.132302568958928,1.758804098870924,0.37349847008800974,111.60037030000903
0.08441477582500896,1.3917680473009322,1.1265026169312657,0.26526543036966793,92.54371276341072
0.09330054170132569,0.899021874193833,0.7166448164401857,0.1823770577536445,78.28414241926029
0.10218630757764244,0.58470792926156,0.46201480641563225,0.12269312284592694,67.26320577844066
0.11107207345395917,0.37476864396248016,0.29404763438537146,0.0807210095771081,58.52135022993489
0.1199578393302759,0.2372322629142141,0.18539134543306937,0.05184091748114435,51.45056326281232
0.12884360520659263,0.1474338715748675,0.1150864412851771,0.03234743028969099,45.674803693007135
0.13772937108290936,0.09092205377699591,0.07106812977650574,0.019853924000490124,40.882956086758284
0.1466151369592261,0.054637380159758955,0.04276125856974778,0.011876121590011359,36.82339603140381
0.15550090283554283,0.03215587180350579,0.025252345349075486,0.006903526454430258,33.363600090451435
0.16438666871185956,0.018779108970716135,0.01480910750568869,0.003970001465027426,30.41268043687808
0.1732724345881763,0.010727179378008815,0.008503939167288723,0.002223240210720078,27.868156012858417
0.18215820046449302,0.006053377356203065,0.004824992480356179,0.0012283848758468533,25.647230840658544
0.19104396634080975,0.0033569753007386895,0.00269144314441966,0.000665532156319021,23.68241682464951
0.19992973221712648,0.0018425306659319027,0.001486623017594329,0.0003559076483375752,21.94450447992776
0.20881549809344324,0.0010059799149280567,0.0008175325817471632,0.0001884473331808916,20.412376166499286
0.21770126396975997,0.0005477830460681669,0.0004482635371390579,9.951950892911046e-05,19.051022096368552
0.2265870298460767,0.0002966408050171783,0.00024404515347657392,5.259565154060431e-05,17.820890983346306
0.23547279572239344,0.0001600019570168828,0.0001322518883402433,2.7750068676639788e-05,16.707575660478202
0.24435856159871017,8.653894486146696e-05,7.169918029123673e-05,1.4839764570230076e-05,15.708736078463923
0.2532443274750269,4.683986571872627e-05,3.884277828752604e-05,7.997087431200153e-06,14.806393888686555
0.26213009335134363,2.519721671248014e-05,2.085267348723945e-05,4.344543225240668e-06,13.976900247581355
0.27101585922766036,1.3608152405994635e-05,1.1220549724758652e-05,2.3876026812359776e-06,13.217038023933931
0.2799016251039771,7.363210405483914e-06,6.0371589025257624e-06,1.3260515029581594e-06,12.525453578159857
0.2887873909802938,3.9749730854718394e-06,3.239890060865562e-06,7.35083024606309e-07,11.89150456350093
0.29767315685661055,2.131239083357055e-06,1.7264641942060857e-06,4.0477488915096127e-07,11.305008020853467
0.3065589227329273,1.1371948479361232e-06,9.169582832773587e-07,2.2023656465876372e-07,10.762609701492345
0.315444688609244,6.736907725324826e-07,5.404779440818347e-07,1.3321282845064895e-07,10.284726788144535
0.32433045448556075,4.784493785733563e-07,3.8217298959515735e-07,9.62763889781991e-08,9.812074945825628
0.3332162203618775,3.133783774648548e-07,2.490285407348002e-07,6.434983673005466e-08,9.37677634547912
0.3421019862381942,2.0056883283373342e-07,1.586266996233396e-07,4.1942133210393507e-08,8.972206872235477
0.35098775211451094,1.2628690007605269e-07,9.941856498137367e-08,2.686833509467842e-08,8.596280926539551
0.3598735179908277,7.752484486877037e-08,6.07437555267648e-08,1.6781089342005625e-08,8.246294947445143
0.3687592838671444,4.7021388097916287e-08,3.6698200056739594e-08,1.0323188041176792e-08,7.917826500106782
0.37764504974346114,2.7073066087735585e-08,2.1067068210673255e-08,6.00599787706232e-09,7.608632485783539
0.38653081561977787,1.4786943745855547e-08,1.1496292404473756e-08,3.2906513413818257e-09,7.320691854996041
0.3954165814960946,7.440005061729997e-09,5.781937132072977e-09,1.6580679296570033e-09,7.051120721760638
0.40430234737241133,3.4110540990916632e-09,2.6555460723699362e-09,7.555080267217261e-10,6.796263164369967
0.41318811324872806,1.2832639259139006e-09,1.000768473882524e-09,2.8249545203137526e-10,6.553994700863761
0.4220738791250448,3.4482569125963107e-10,2.6954020174256416e-10,7.528548951706682e-11,6.326124993984668
0.4309596450013616,5.799513199247038e-11,4.536691329851935e-11,1.2628218693951029e-11,6.12053859211951
0.43984541087767826,3.03757496549476e-12,2.3834448220881544e-12,6.541301434066065e-13,5.955258658613122
