z,uv
5.0,0.25807981818549086
15.0,0.47600089899018905
25.0,0.43294047967412996
35.0,0.35513376349724274
45.0,0.28998601780890754
55.0,0.24495386256687088
65.0,0.2140415771450323
75.0,0.19375335202996155
85.0,0.18086522318925624
95.0,0.17213405187516195
105.0,0.1672277371308039
115.0,0.16543066470317602
125.0,0.1640715940411909
135.0,0.162013306418772
145.0,0.15998716862915566
155.0,0.15868790117353915
165.0,0.15799653059230276
175.0,0.15769338240089972
185.0,0.15716077838249887
195.0,0.1557524956559319
205.0,0.15381345705368077
215.0,0.15106078216081142
225.0,0.14751268913934146
235.0,0.14359238368890787
245.0,0.1393485233924845
255.0,0.13475566476785927
265.0,0.13035887301953114
275.0,0.1268088683832898
285.0,0.12447032569023611
295.0,0.12299775314793533
305.0,0.12191415330136461
315.0,0.12103490422374502
325.0,0.1201278456737266
335.0,0.11892109706618219
345.0,0.11751076062762597
355.0,0.11589910359815046
365.0,0.11419002563013786
375.0,0.11242519011978616
385.0,0.11074197447424584
395.0,0.10889947198771709
405.0,0.10694858678643182
415.0,0.10483128702146241
425.0,0.10271268345160378
435.0,0.10057267810060039
445.0,0.09877326530874457
455.0,0.0971722474944807
465.0,0.095967031059971
475.0,0.0954145588155257
485.0,0.09556549855103495
495.0,0.09612396794340543
505.0,0.09677594171603196
515.0,0.09745905092770098
525.0,0.09798095506245551
535.0,0.09816994804616197
545.0,0.09799718104392408
555.0,0.09750425834155763
565.0,0.09690148756592577
575.0,0.09673462833547453
585.0,0.0970451598112511
595.0,0.09774610522805724
605.0,0.09848680185483137
615.0,0.09893933684942934
625.0,0.09870879985636091
635.0,0.09778175059429756
645.0,0.09531535463807846
655.0,0.09078744454329767
665.0,0.08494725608546315
675.0,0.07772565393718889
685.0,0.06931971117348479
695.0,0.0602212554681505
705.0,0.050669467040904366
715.0,0.0408919627285285
725.0,0.029707749938179876
735.0,0.01666499941575341
745.0,0.001347611041065244
755.0,-0.0174135685159247
765.0,-0.0355099198537329
775.0,-0.04212109402344271
785.0,-0.028776789862263695
795.0,-0.0053686677472439175
805.0,0.008090574427161006
815.0,0.008952962530845996
825.0,0.005682503094976534
835.0,0.0028021504246780096
845.0,0.0012180426888261141
855.0,0.000683084436908114
865.0,0.0006249009624353869
875.0,0.0005596181675965299
885.0,0.0004111452873382076
895.0,0.00028047819083348266
905.0,0.00019390166156426868
915.0,0.00014027387747449845
925.0,0.00010676716538781183
935.0,8.484148601412651e-05
945.0,6.981116968159526e-05
955.0,5.958092052694578e-05
965.0,5.315171481244821e-05
975.0,4.923477889185399e-05
985.0,4.5928267057719165e-05
995.0,4.165279164464761e-05
1005.0,3.614738073284595e-05
1015.0,3.0181510809536628e-05
1025.0,2.4548144983850778e-05
1035.0,1.9529519702611287e-05
1045.0,1.5012061985057066e-05
1055.0,1.0817506290456575e-05
1065.0,6.86554059648582e-06
1075.0,3.1387426851594106e-06
1085.0,-5.667678644251221e-07
1095.0,-4.358590066971602e-06
1105.0,-8.19299585323588e-06
1115.0,-1.1924850475815303e-05
1125.0,-1.530689681128802e-05
1135.0,-1.8039663139404603e-05
1145.0,-1.995429193237791e-05
1155.0,-2.113849044138419e-05
1165.0,-2.1941471284781632e-05
1175.0,-2.2872692823781087e-05
1185.0,-2.437120544051429e-05
1195.0,-2.671796481582235e-05
1205.0,-3.0114713253629654e-05
1215.0,-3.4806400811808275e-05
1225.0,-4.095758413503845e-05
1235.0,-4.857369677331529e-05
1245.0,-5.75323655157112e-05
1255.0,-6.767119881876864e-05
1265.0,-7.875719265843103e-05
1275.0,-9.046410781456757e-05
1285.0,-0.00010242743446539343
1295.0,-0.0001143142439406618
1305.0,-0.0001257916638525106
1315.0,-0.00013650133328669666
1325.0,-0.00014607980262999819
1335.0,-0.00015424943717395068
1345.0,-0.0001608866972897432
1355.0,-0.00016597983249252814
1365.0,-0.00016952334295711405
1375.0,-0.00017144808023167684
1385.0,-0.00017163126214374944
1395.0,-0.00016999995096877876
1405.0,-0.00016664631000980817
1415.0,-0.00016185196971760376
1425.0,-0.0001559900395364978
1435.0,-0.00014935370077713583
1445.0,-0.00014204193434933792
1455.0,-0.0001339871366610177
1465.0,-0.00012508137325292372
1475.0,-0.00011530411686674529
1485.0,-0.00010477443429046466
1495.0,-9.373249857762095e-05
1505.0,-8.247917197801189e-05
1515.0,-7.131661029268173e-05
1525.0,-6.0509946964423685e-05
1535.0,-5.0282667890178056e-05
1545.0,-4.082056498317852e-05
1555.0,-3.224967697759891e-05
1565.0,-2.457939284210252e-05
1575.0,-1.766280799551494e-05
1585.0,-1.1216860254451614e-05
1595.0,-4.920223054216279e-06
1605.0,1.4508009835820226e-06
1615.0,7.915380723999302e-06
1625.0,1.4256261374980923e-05
1635.0,2.0062066754187476e-05
1645.0,2.4806056739366846e-05
1655.0,2.7930565910997874e-05
1665.0,2.8931268571379926e-05
1675.0,2.7435401689860056e-05
1685.0,2.3248882381977064e-05
1695.0,1.63539983006743e-05
1705.0,6.857928956649182e-06
1715.0,-5.083007087352515e-06
1725.0,-1.9323816573614425e-05
1735.0,-3.574595969213102e-05
1745.0,-5.422181342886548e-05
1755.0,-7.45515223051874e-05
1765.0,-9.640381350161066e-05
1775.0,-0.00011929166206574005
1785.0,-0.00014258885720429732
1795.0,-0.00016558135863663969
1805.0,-0.0001875409650072078
1815.0,-0.000207814796608918
1825.0,-0.0002259130870827038
1835.0,-0.00024157513511572246
1845.0,-0.00025478036697943287
1855.0,-0.00026569254148502326
1865.0,-0.0002745428497569781
1875.0,-0.000281520844922052
1885.0,-0.00028679436135119635
1895.0,-0.0002906618496729968
1905.0,-0.0002933486861399332
1915.0,-0.0002945932770976946
