x,y,z,velocityx_avg,velocityy_avg,velocityz_avg,temperature_avg
1800.0,1800.0,10.0,7.074477608268868,4.194895741549101,-0.0541113757621417,300.18639003785967
1800.0,1800.0,20.0,8.392374475614387,4.922314716915711,-0.08460672418391431,300.1692316575477
1800.0,1800.0,30.0,9.066775556034017,5.2907268494688635,-0.08530811811541296,300.1564786681257
1800.0,1800.0,40.0,9.423241695651512,5.506975824900365,-0.06860025786883342,300.1479783363363
1800.0,1800.0,50.0,9.652659640775441,5.6371503629594315,-0.04497513092962757,300.1425107645397
1800.0,1800.0,60.0,9.83264099984552,5.719949457515142,-0.018807956587926427,300.13852722777705
1800.0,1800.0,70.0,9.966310735061915,5.76367318820486,0.006403963989436566,300.13557140932966
1800.0,1800.0,80.0,10.04919001719415,5.770370827758311,0.027103406457640426,300.1336013546012
1800.0,1800.0,90.0,10.097369762429091,5.770739751345277,0.03710073108020599,300.13216180990975
1800.0,1800.0,100.0,10.1403691779315,5.789244995214045,0.03259128114574038,300.13062396617744
1800.0,1800.0,110.0,10.196037936013147,5.830688986618169,0.017299810715596334,300.1284674808104
1800.0,1800.0,120.0,10.265114783857907,5.8875384263002415,-0.0013438938863709635,300.1259098915532
1800.0,1800.0,130.0,10.341989957440878,5.939240228662023,-0.016503450859202014,300.1236622745218
1800.0,1800.0,140.0,10.413575958492048,5.975495308174732,-0.025175911940889042,300.12207976604236
1800.0,1800.0,150.0,10.46762287703317,6.008665596018008,-0.03050479533272992,300.12114216004727
1800.0,1800.0,160.0,10.511666745638502,6.0408454627851125,-0.035506174167439106,300.1205166661771
1800.0,1800.0,170.0,10.552865816548978,6.064731110685232,-0.03911700056599251,300.11986317069466
1800.0,1800.0,180.0,10.590432754061405,6.087937967483507,-0.040382352153544465,300.11916233144564
1800.0,1800.0,190.0,10.62711261808829,6.118125015700363,-0.040406003559817244,300.1184717069058
1800.0,1800.0,200.0,10.661261879006448,6.14556870905178,-0.04078365908905614,300.11787298339675
