z,wT
5.0,0.00038672825991733047
15.0,0.0019255117501110262
25.0,0.0031140239654130477
35.0,0.0037011729846824193
45.0,0.003940324972779967
55.0,0.004022043584894595
65.0,0.004026015607332279
75.0,0.0039911484651153385
85.0,0.003934959641030883
95.0,0.003866074477528089
105.0,0.003788162175509395
115.0,0.00370529302018926
125.0,0.0036184900124547545
135.0,0.0035287775979749437
145.0,0.0034367095915940706
155.0,0.0033432999095734735
165.0,0.0032490212051328893
175.0,0.003154409830812448
185.0,0.0030597369645978573
195.0,0.0029643389466847843
205.0,0.0028685111183130866
215.0,0.0027726165515411243
225.0,0.002676793344818642
235.0,0.0025811526651791433
245.0,0.002485009437172333
255.0,0.002388948456048574
265.0,0.002292794102373454
275.0,0.0021967320666657357
285.0,0.0021009110473737946
295.0,0.002005150476876212
305.0,0.0019091878199536231
315.0,0.0018133383079829393
325.0,0.0017175692546983546
335.0,0.0016219342480774436
345.0,0.0015264431044799225
355.0,0.0014310899251175418
365.0,0.0013357835202873285
375.0,0.0012406744213624102
385.0,0.0011454977385094254
395.0,0.001050418236259806
405.0,0.0009552745630312403
415.0,0.0008602282772014071
425.0,0.0007652601116609482
435.0,0.0006704132521533088
445.0,0.0005756711927613131
455.0,0.0004811439699052781
465.0,0.0003867082236945136
475.0,0.00029241157648811166
485.0,0.00019803311909483896
495.0,0.00010349741381221159
505.0,9.009260763830367e-06
515.0,-8.52828665688016e-05
525.0,-0.0001794955330863685
535.0,-0.0002735472254284085
545.0,-0.00036761833431296084
555.0,-0.0004616072603212537
565.0,-0.0005556588442446217
575.0,-0.0006493604193398155
585.0,-0.0007428814658467363
595.0,-0.0008361237805733383
605.0,-0.0009289528325789572
615.0,-0.0010217165420814927
625.0,-0.0011145703555349743
635.0,-0.0012066265021153278
645.0,-0.0012977417704195143
655.0,-0.0013890373232924738
665.0,-0.001480450877203207
675.0,-0.0015711205764121106
685.0,-0.0016606210314534997
695.0,-0.0017479957054449696
705.0,-0.0018329791454887096
715.0,-0.0019138931929295934
725.0,-0.0019935219654423943
735.0,-0.0020671049630675473
745.0,-0.002140847413660124
755.0,-0.0021999950238668826
765.0,-0.0021859040928868018
775.0,-0.001877253147011149
785.0,-0.0012285699650489668
795.0,-0.0007022114001366868
805.0,-0.0004926863620277085
815.0,-0.00035655288512050965
825.0,-0.00023361098558551997
835.0,-0.00013213596387069007
845.0,-5.7969545055403914e-05
855.0,-1.9233942777826842e-05
865.0,-5.944379445603946e-06
875.0,2.135385177710526e-06
885.0,-2.7659653270455775e-06
895.0,-1.209837390217356e-06
905.0,-2.484103034165119e-06
915.0,-2.8736983169385683e-06
925.0,-2.8572669501487973e-06
935.0,-2.3668519987977783e-06
945.0,-1.8921291584332637e-06
955.0,-1.6149514069676745e-06
965.0,-1.4624028814143242e-06
975.0,-1.320246492562836e-06
985.0,-1.133304786503378e-06
995.0,-9.061915381132236e-07
1005.0,-6.553791528732992e-07
1015.0,-3.8202375570429783e-07
1025.0,-9.644056908056164e-08
1035.0,1.987973755045691e-07
1045.0,4.914766055629723e-07
1055.0,7.835742987570898e-07
1065.0,1.0590155991504975e-06
1075.0,1.3069287178567114e-06
1085.0,1.5051494988957178e-06
1095.0,1.6524675975218967e-06
1105.0,1.760587920618157e-06
1115.0,1.8522010431016042e-06
1125.0,1.941426103724337e-06
1135.0,2.037222347815073e-06
1145.0,2.1384605660033172e-06
1155.0,2.247071760882181e-06
1165.0,2.363763900775251e-06
1175.0,2.4924697099983795e-06
1185.0,2.6327039344604796e-06
1195.0,2.7732622997393165e-06
1205.0,2.8935629111727265e-06
1215.0,2.971936498535686e-06
1225.0,2.9925261722024165e-06
1235.0,2.9477804460347516e-06
1245.0,2.8344596094560993e-06
1255.0,2.657787444631908e-06
1265.0,2.4293177444998953e-06
1275.0,2.166862484597632e-06
1285.0,1.8892640079327252e-06
1295.0,1.6209350921208e-06
1305.0,1.380517119852644e-06
1315.0,1.1855377489867615e-06
1325.0,1.0403350734205128e-06
1335.0,9.484015514667119e-07
1345.0,9.007083035963736e-07
1355.0,8.829512347856524e-07
1365.0,8.732814740917213e-07
1375.0,8.602629303343808e-07
1385.0,8.371902021144701e-07
1395.0,8.039575422726259e-07
1405.0,7.553857092229399e-07
1415.0,6.90448180930358e-07
1425.0,6.119844363110751e-07
1435.0,5.268828763898557e-07
1445.0,4.411641585145946e-07
1455.0,3.6353487195178584e-07
1465.0,2.983755831991915e-07
1475.0,2.5208940509227417e-07
1485.0,2.2486619522980747e-07
1495.0,2.234762015931101e-07
1505.0,2.537137469684958e-07
1515.0,3.186220337353697e-07
1525.0,4.1551197662042634e-07
1535.0,5.408090261837569e-07
1545.0,6.900467880562443e-07
1555.0,8.585826087793452e-07
1565.0,1.0436328514164811e-06
1575.0,1.2495326146021756e-06
1585.0,1.4885614148418057e-06
1595.0,1.7670522404872413e-06
1605.0,2.0868625921661867e-06
1615.0,2.445883595573162e-06
1625.0,2.8376786506559163e-06
1635.0,3.254185176085279e-06
1645.0,3.678845826155688e-06
1655.0,4.103275314540044e-06
1665.0,4.520057472717368e-06
1675.0,4.926188297106096e-06
1685.0,5.3156217833933455e-06
1695.0,5.685892996072234e-06
1705.0,6.0282271342942615e-06
1715.0,6.329542545142615e-06
1725.0,6.566184354811375e-06
1735.0,6.716051239445713e-06
1745.0,6.759027929074927e-06
1755.0,6.67961636095405e-06
1765.0,6.472945216784364e-06
1775.0,6.150812213683778e-06
1785.0,5.736965663689772e-06
1795.0,5.263912711886695e-06
1805.0,4.757192459174124e-06
1815.0,4.239518703404687e-06
1825.0,3.7163963421226467e-06
1835.0,3.184511389091521e-06
1845.0,2.632592098151228e-06
1855.0,2.0654326034343313e-06
1865.0,1.5088289248561154e-06
1875.0,1.0129368332054963e-06
1885.0,6.16140900183891e-07
1895.0,2.5674323180792456e-07
1905.0,8.841518322514136e-08
1915.0,1.061290735105643e-08
