t,ustar
15000.5,0.46958391816109585
15001.0,0.4695927173255051
15001.5,0.4696013989081489
15002.0,0.4696099253057717
15002.5,0.46961830745163113
15003.0,0.4696265373879115
15003.5,0.46963461833991893
15004.0,0.4696425235024134
15004.5,0.46965025689664236
15005.0,0.46965782791316946
15005.5,0.4696651897177726
15006.0,0.46967236132564566
15006.5,0.4696793705962548
15007.0,0.4696861869693924
15007.5,0.4696928072420067
15008.0,0.46969924346533376
15008.5,0.46970550012335893
15009.0,0.46971154800558707
15009.5,0.4697174009938987
15010.0,0.4697230711994041
15010.5,0.4697285455547348
15011.0,0.46973382989184986
15011.5,0.4697388933202159
15012.0,0.46974375797214685
15012.5,0.4697484386044937
15013.0,0.46975291749735554
15013.5,0.4697572334589709
15014.0,0.4697613198429687
15014.5,0.46976522743098115
15015.0,0.4697689221366622
15015.5,0.46977241634736944
15016.0,0.46977573556849567
15016.5,0.46977889080593055
15017.0,0.4697817939124678
15017.5,0.4697845187319714
15018.0,0.4697870520992159
15018.5,0.4697894012761346
15019.0,0.46979153420609676
15019.5,0.46979349029754264
15020.0,0.4697952543880499
15020.5,0.4697968199088591
15021.0,0.4697982064521587
15021.5,0.4697994124200952
15022.0,0.4698004311257417
15022.5,0.4698012584601158
15023.0,0.4698018973744175
15023.5,0.46980237787805235
15024.0,0.46980268707662337
15024.5,0.4698028146475047
15025.0,0.46980277651511027
15025.5,0.4698025605378793
15026.0,0.4698022026756916
15026.5,0.46980168643959663
15027.0,0.4698010108488344
15027.5,0.4698001916690982
15028.0,0.46979923901849685
15028.5,0.4697981195728976
15029.0,0.46979687267995834
15029.5,0.4697955329941855
15030.0,0.4697940845794424
15030.5,0.46979250764631425
15031.0,0.46979083993551535
15031.5,0.4697890715136343
15032.0,0.469787230131137
15032.5,0.46978530096914156
15033.0,0.46978330871239277
15033.5,0.4697812775968558
15034.0,0.469779176130486
15034.5,0.46977704320253205
15035.0,0.46977485205247965
15035.5,0.4697726600199312
15036.0,0.46977044150207536
15036.5,0.46976824157327457
15037.0,0.46976603742809836
15037.5,0.46976383863330157
15038.0,0.46976167165866783
15038.5,0.4697595306767653
15039.0,0.4697574336072887
15039.5,0.46975539508665953
15040.0,0.46975340893594186
15040.5,0.46975149845632286
15041.0,0.4697496698358048
15041.5,0.46974796307095534
15042.0,0.46974632903802677
15042.5,0.4697448122042991
15043.0,0.46974340407098464
15043.5,0.4697421290883322
15044.0,0.4697409860396983
15044.5,0.46973996613954505
15045.0,0.4697391291525118
15045.5,0.46973844287006594
15046.0,0.4697379080331686
15046.5,0.4697375499855189
15047.0,0.4697373655088088
15047.5,0.46973736135536714
15048.0,0.46973754237627663
15048.5,0.4697379120174701
15049.0,0.4697384690393742
15049.5,0.46973921600617047
15050.0,0.469740175691471
15050.5,0.4697413038173179
15051.0,0.46974264516673125
15051.5,0.4697441951597989
15052.0,0.4697459417885145
15052.5,0.46974787747490204
15053.0,0.46975002619394446
15053.5,0.4697523677354605
15054.0,0.4697548875664172
15054.5,0.4697576122683882
15055.0,0.4697605178616399
15055.5,0.4697636074166018
15056.0,0.46976688041764614
15056.5,0.4697703135072725
15057.0,0.46977395029258456
15057.5,0.46977775165753394
15058.0,0.4697817240178541
15058.5,0.469785849433689
15059.0,0.46979018630711433
15059.5,0.46979463340835
15060.0,0.46979925564156527
15060.5,0.4698040381751304
15061.0,0.4698089714084891
15061.5,0.469814045920718
15062.0,0.46981928219272145
15062.5,0.46982468021641355
15063.0,0.46983021925707086
15063.5,0.46983590523016733
15064.0,0.46984170796016234
15064.5,0.4698476611316404
15065.0,0.4698537551419915
15065.5,0.4698599629563012
15066.0,0.4698663103074651
15066.5,0.469872766246243
15067.0,0.469879353786187
15067.5,0.46988605035925296
15068.0,0.4698928627932343
15068.5,0.4698998053280367
15069.0,0.4699068470154502
15069.5,0.4699139853701149
15070.0,0.4699212362638889
15070.5,0.46992858139071797
15071.0,0.46993602199586804
15071.5,0.46994355829578943
15072.0,0.46995113492913726
15072.5,0.46995880537890217
15073.0,0.4699665927131541
15073.5,0.4699744339650229
15074.0,0.4699823020269186
15074.5,0.46999025466998545
15075.0,0.4699982363632594
15075.5,0.4700062967483941
15076.0,0.4700143629370764
15076.5,0.4700225029453269
15077.0,0.4700306607709041
15077.5,0.4700388604827978
15078.0,0.4700470560862031
15078.5,0.47005526884569343
15079.0,0.47006348445239565
15079.5,0.47007169997045156
15080.0,0.47007991319457987
15080.5,0.4700881002679434
15081.0,0.47009627989678915
15081.5,0.4701044427608477
15082.0,0.4701125713430584
15082.5,0.4701206683211531
15083.0,0.4701287374408265
15083.5,0.47013677693935557
15084.0,0.4701447606156012
15084.5,0.47015273128252655
15085.0,0.470160643772731
15085.5,0.4701685134908097
15086.0,0.47017635007182823
15086.5,0.47018413499683415
15087.0,0.47019187635335685
15087.5,0.47019954218831467
15088.0,0.4702071733878993
15088.5,0.47021477085166424
15089.0,0.4702223029869554
15089.5,0.47022978434247764
15090.0,0.4702372540706815
15090.5,0.47024469439642314
15091.0,0.4702520631540844
15091.5,0.47025938693123087
15092.0,0.470266691947851
15092.5,0.4702739491703079
15093.0,0.47028115702982504
15093.5,0.47028834939826275
15094.0,0.4702955372653194
15094.5,0.4703026769638988
15095.0,0.4703097728603327
15095.5,0.4703168494541233
15096.0,0.4703239242931147
15096.5,0.4703309720164026
15097.0,0.4703379766309267
15097.5,0.47034496040604085
15098.0,0.4703519342891958
15098.5,0.4703588850827554
15099.0,0.47036582699371043
15099.5,0.4703727591266175
15100.0,0.4703796707996383
