z,vT
5.0,-0.004943111097736901
15.0,-0.008444633425190326
25.0,-0.009176985449752694
35.0,-0.008710289576584252
45.0,-0.007769387463488502
55.0,-0.006864133652758924
65.0,-0.00609396360403876
75.0,-0.005476832285372502
85.0,-0.004974183569076623
95.0,-0.004553170962926755
105.0,-0.00421540171862367
115.0,-0.003946839327386043
125.0,-0.003727787135041258
135.0,-0.0035444016874775237
145.0,-0.0033865298643990954
155.0,-0.0032350852486828724
165.0,-0.0030935274183481487
175.0,-0.002975410904758676
185.0,-0.00286676904121121
195.0,-0.002757697549027615
205.0,-0.00265069666078856
215.0,-0.0025463980722680445
225.0,-0.002442487099091626
235.0,-0.002338369495068464
245.0,-0.002233039718256207
255.0,-0.002127476920491114
265.0,-0.0020256348162558924
275.0,-0.001933587969055985
285.0,-0.0018538046634118714
295.0,-0.0017764932228385901
305.0,-0.0016937288975197343
315.0,-0.0016130266306759074
325.0,-0.0015371768940971391
335.0,-0.0014636359270938175
345.0,-0.001394865012716891
355.0,-0.001329304388150083
365.0,-0.0012623303426528116
375.0,-0.0011918657898563661
385.0,-0.0011170836468289561
395.0,-0.001043391509641874
405.0,-0.0009714003250737718
415.0,-0.0009002246097444516
425.0,-0.0008302807222112171
435.0,-0.0007590730277347426
445.0,-0.000687675886736057
455.0,-0.000619846592681978
465.0,-0.0005548397686350492
475.0,-0.0004925795978372203
485.0,-0.0004294803729117996
495.0,-0.0003642508682565458
505.0,-0.0003017514316109173
515.0,-0.00024506179630056984
525.0,-0.0001939399360843633
535.0,-0.000146740135657434
545.0,-0.00010241433351515004
555.0,-6.22051264366922e-05
565.0,-2.6049199740224422e-05
575.0,8.158885846456848e-06
585.0,3.160779817180202e-05
595.0,4.6584049397317854e-05
605.0,5.7052992012651964e-05
615.0,7.241227268106059e-05
625.0,8.568752254523119e-05
635.0,8.420932534223446e-05
645.0,6.158758922012264e-05
655.0,6.599016398721448e-06
665.0,-5.623319408354189e-05
675.0,-0.00015147645186694672
685.0,-0.00029485525975653254
695.0,-0.0005084968947278983
705.0,-0.0008250189804185309
715.0,-0.0012790382554994054
725.0,-0.0020210643775088644
735.0,-0.0037621498539454463
745.0,-0.008398656284727815
755.0,-0.0191279396244525
765.0,-0.03900764063009933
775.0,-0.0638149384423262
785.0,-0.0764009359647034
795.0,-0.061555431202941276
805.0,-0.03057775662230583
815.0,-0.006021922244690422
825.0,0.004084515478363599
835.0,0.0038870711701796865
845.0,0.0005147834885823537
855.0,-0.0012740974596618824
865.0,-0.0009732976122099455
875.0,-0.00032666961290479015
885.0,-0.00010803734204931344
895.0,-7.971620049870751e-05
905.0,-8.229925455743753e-05
915.0,-7.739841141652869e-05
