f,Suu,Svv,Sww
0.0,0.0,0.0,0.0
0.0002,0.00021423449644974128,2.9058036466029288e-05,2.7609055751501846e-06
0.0004,0.0003567607080667286,6.575085586544104e-05,7.104658628962306e-06
0.0006,0.0006154983269550233,9.332617871427632e-05,1.1603053082286373e-05
0.0008,0.0006804875172022734,0.00014799182516675387,1.0359590764115245e-05
0.001,0.0006210080774183536,7.008202543782845e-05,1.2291087422523491e-05
0.0012,0.0012855881940766522,0.0001266317416870124,2.5050096690317674e-05
0.0014,0.0038141192470453984,0.0008107666228648651,2.9618361421933e-05
0.0016,0.0013636123558023374,0.00020925274389319343,3.023876567617967e-05
0.0018,0.0019508060700745764,0.0003255277824687106,2.4648499052639347e-05
0.002,0.000776208224709581,0.00015838468911221984,3.630424398965255e-05
0.0022,0.0009009073040534021,0.00015941642672014713,2.8290540377632024e-05
0.0024,0.00094430368301122,0.00017323602918324583,2.4961745867399077e-05
0.0026,0.0013264502926334748,0.00016338677389413515,3.098522570231851e-05
0.0028,0.001120465051782963,0.00015233937586008856,4.809147294636242e-05
0.003,0.0016064467279633817,0.0003025922083986819,5.0576961969456e-05
0.0032,0.0018938503383168334,0.00017452046400704397,6.218141365532827e-05
0.0034,0.0010482492126419744,0.00024037606860415696,4.8162949648878066e-05
0.0036,0.0013250133301757172,0.00023784538464029467,4.7969328433565874e-05
0.0038,0.0018314154210752782,0.00016972547393917203,5.609831075936515e-05
0.004,0.0013247448396204189,0.0002737315020442537,4.342213470544226e-05
0.0042,0.0012879407356370617,0.00020688169056463855,5.958953681858029e-05
0.0044,0.0014802773558407014,0.00023891434905289738,5.668783665454181e-05
0.0046,0.0014255387943552774,0.00029598026288532646,5.7267767456011934e-05
0.0048,0.0015352765757888898,0.0002510783776232825,7.422464805269763e-05
0.005,0.0014414000075512626,0.0002541277375607944,5.812234289253455e-05
0.0052,0.0021394060421549457,0.00024065976138649273,8.239838632924875e-05
0.0054,0.0015737698993585154,0.00028835292025536493,7.046728573291957e-05
0.0056,0.0016045997033654472,0.000310218554631607,7.22309504686725e-05
0.0058,0.0018409293494400963,0.00037310259852706867,8.630151334458965e-05
0.006,0.00131346463443337,0.0003968853880166213,6.712636483477141e-05
0.0062,0.0015893145181873104,0.0002590341964637032,5.9946451136691296e-05
0.0064,0.0020054467076222144,0.0003544095283714587,8.40864253842984e-05
0.0066,0.0019861674522938513,0.00038421245727393686,0.00010362766626668767
0.0068,0.0012253007372491943,0.00050423819308806,7.224934145340492e-05
0.007,0.0016001364486058034,0.00039962516724649717,0.00010696283669605644
0.0072,0.0015287440302218496,0.00025412247184950914,8.81020871561082e-05
0.0074,0.001874688914903472,0.00033684339744946237,9.53333090160274e-05
0.0076,0.0020971349445447207,0.0003387832432790541,0.00011976941324232938
0.0078,0.001900638533391734,0.0004973670397175254,8.344953516535219e-05
0.008,0.002091574514855577,0.00037176795283295165,0.0001296557054766909
0.0082,0.0013456116730913778,0.00039681162004807165,0.00010267030108562234
0.0084,0.0015595494308835167,0.0005472027659569013,0.00010441486072354067
0.0086,0.001319727411421433,0.00046941415582329657,8.285455022418066e-05
0.0088,0.0019245957471877783,0.0003019027221500454,0.00010221928084952334
0.009,0.001231785095698746,0.00039747331381690223,0.00010567365730576413
0.0092,0.0021139194939994803,0.00039447281847960325,0.00016543341264251604
0.0094,0.0016157035469130257,0.0004257133967084288,0.00013247333165674832
0.0096,0.001923007174614556,0.000498136030418894,7.868235786501685e-05
0.0098,0.0017592821226629285,0.0003798602528992374,0.00011815483053132817
0.01,0.0016011819750813819,0.0004443084953971327,0.00011187627680078909
0.0102,0.0015436971482666445,0.0005396477249824103,0.00010780788270400767
0.0104,0.0013416183988353171,0.0004276811868747973,0.00010236900971411328
0.0106,0.0016527015804129084,0.0005531140355751,0.00010708036918286352
0.0108,0.0014354737957662021,0.0004190676182733756,0.00012297030708085307
0.011,0.0011896266610569067,0.0005204201065572954,9.953156158167868e-05
0.0112,0.0014793918477803286,0.00037841260517524185,0.00013238759216502202
0.0114,0.001615678924724645,0.0004406633527904566,0.00012333019600495936
0.0116,0.001901460746754673,0.0005362932734242076,0.00013882572168976456
0.0118,0.0020753864068235703,0.000542697036598191,0.00012186353591582425
0.012,0.0013139265071287418,0.0005413104611278857,0.00012406575604674363
0.0122,0.001414288828014648,0.0004997860400266123,0.0001009546209889904
0.0124,0.0012254267260529358,0.0007369340517835477,9.029716571641946e-05
0.0126,0.0016722329164448684,0.0005045979863399258,0.00014303116529645502
0.0128,0.0012235881668904458,0.0005093724458845476,0.00012063997238104406
0.013,0.0019971822566017122,0.0004917419455625607,0.00013005728392923238
