z,uT
5.0,-0.008955114918195554
15.0,-0.015938284144740227
25.0,-0.018003126625220696
35.0,-0.01760631403811302
45.0,-0.01616439994770205
55.0,-0.014669220673094348
65.0,-0.013378693442577841
75.0,-0.012299214280385393
85.0,-0.011396120781510458
95.0,-0.010642288600981408
105.0,-0.010005359180964398
115.0,-0.00946592344415482
125.0,-0.009011562785457453
135.0,-0.0086152385553678
145.0,-0.008256313052245865
155.0,-0.007925804495101451
165.0,-0.007620347666905825
175.0,-0.007333510891669033
185.0,-0.007056540697026566
195.0,-0.006788187006165272
205.0,-0.006531833971440945
215.0,-0.006288757450880997
225.0,-0.006052130942233697
235.0,-0.005819077952668293
245.0,-0.005590837908879347
255.0,-0.0053700814392786
265.0,-0.005153520604094627
275.0,-0.004941025188088434
285.0,-0.004731698330775184
295.0,-0.004525730851430531
305.0,-0.004326166241833141
315.0,-0.004132095731542254
325.0,-0.003939660094815544
335.0,-0.0037508601140986302
345.0,-0.003567364183857006
355.0,-0.003389260777398522
365.0,-0.0032148164267081117
375.0,-0.0030421692682221966
385.0,-0.0028708851104716046
395.0,-0.002702566313184284
405.0,-0.0025366555086621585
415.0,-0.002371357226235586
425.0,-0.0022059361077026015
435.0,-0.0020426542992997053
445.0,-0.001882084735240333
455.0,-0.0017256251331895242
465.0,-0.0015723147274337517
475.0,-0.0014152442650419183
485.0,-0.0012518588546456008
495.0,-0.001084654937423764
505.0,-0.0009172298142226295
515.0,-0.0007459376357081404
525.0,-0.0005685306893966495
535.0,-0.0003862619631656072
545.0,-0.00019979282735706048
555.0,-1.0428070268648468e-05
565.0,0.00018164244950761994
575.0,0.00038115342462893966
585.0,0.000592928129746807
595.0,0.0008196666182443671
605.0,0.0010634020851364315
615.0,0.001330691681172176
625.0,0.0016251132064374588
635.0,0.001958533634088582
645.0,0.0023436325851316584
655.0,0.0027913956579729174
665.0,0.0033130438785787027
675.0,0.003944525045376498
685.0,0.004767627144545914
695.0,0.005901326965201978
705.0,0.007500816494075628
715.0,0.009972743192237774
725.0,0.014167687801095502
735.0,0.021717063740078774
745.0,0.036448138997604435
755.0,0.06543844258269027
765.0,0.11626411393222096
775.0,0.17654764280156585
785.0,0.19076863695689583
795.0,0.12281378139346762
805.0,0.03225596113485909
815.0,-0.01776005514502047
825.0,-0.029150265962031213
835.0,-0.025092838399654583
845.0,-0.017681745356425613
855.0,-0.01032373687806574
865.0,-0.00457771942443326
875.0,-0.0014840097315264478
885.0,-0.0004945834734704066
895.0,-0.0002947009350601373
905.0,-0.00023979457602373686
915.0,-0.00016414796895830648
925.0,-7.848083570279738e-05
935.0,-1.0091342678392688e-05
945.0,3.898443497434703e-05
955.0,7.665306328740632e-05
965.0,0.00010659846741212354
975.0,0.00012845684761305168
985.0,0.00014249365101592996
995.0,0.00015062239794179363
1005.0,0.00015469478892746704
1015.0,0.00015559834297118898
1025.0,0.00015370817218459675
1035.0,0.00014941911238000371
1045.0,0.0001432090978536324
1055.0,0.00013551244107812732
1065.0,0.0001266743792353623
1075.0,0.0001169703376198564
1085.0,0.00010663003997398207
1095.0,9.585481706534441e-05
1105.0,8.48213821476128e-05
1115.0,7.368317442278762e-05
1125.0,6.258219447586901e-05
1135.0,5.1676740965977754e-05
1145.0,4.115366771367627e-05
1155.0,3.119888145953894e-05
1165.0,2.1980940610473495e-05
1175.0,1.3633681348156965e-05
1185.0,6.241188396643087e-06
1195.0,-1.5424449693754531e-07
1205.0,-5.531824411848906e-06
1215.0,-9.867840870386098e-06
1225.0,-1.3116364262383074e-05
1235.0,-1.5216359212009604e-05
1245.0,-1.6138451374032908e-05
1255.0,-1.5921900303992357e-05
1265.0,-1.4670793192567658e-05
1275.0,-1.251712174657818e-05
1285.0,-9.605129829906744e-06
1295.0,-6.0882289695082595e-06
1305.0,-2.133344629091198e-06
1315.0,2.082150316747966e-06
1325.0,6.376204263079078e-06
1335.0,1.0577610270302314e-05
1345.0,1.4544257666331719e-05
1355.0,1.816459473776438e-05
1365.0,2.1353019394112235e-05
1375.0,2.4038383873980156e-05
1385.0,2.6165384349500985e-05
1395.0,2.7707443006616035e-05
1405.0,2.8664128910603385e-05
1415.0,2.904440393409421e-05
1425.0,2.8845614687451424e-05
1435.0,2.8056326335958043e-05
1445.0,2.6662594319750836e-05
1455.0,2.465504203706501e-05
1465.0,2.203164853075142e-05
1475.0,1.8807476289938595e-05
1485.0,1.5015632304404115e-05
1495.0,1.0700606988516228e-05
1505.0,5.902715592251318e-06
1515.0,6.58590710203176e-07
1525.0,-4.996148100238268e-06
1535.0,-1.101897395579161e-05
1545.0,-1.7364825852290998e-05
1555.0,-2.3988205054278385e-05
1565.0,-3.0851422787408605e-05
1575.0,-3.7923248268591336e-05
1585.0,-4.518620355905885e-05
1595.0,-5.2640575110769816e-05
1605.0,-6.031420020514966e-05
1615.0,-6.82692922694159e-05
1625.0,-7.660567348220099e-05
1635.0,-8.544681032413077e-05
1645.0,-9.490425070537365e-05
1655.0,-0.00010503734605459133
1665.0,-0.00011583112512772267
1675.0,-0.00012720479120656198
1685.0,-0.00013903172216540784
1695.0,-0.0001511575994686977
1705.0,-0.00016341584955972374
1715.0,-0.00017563826435833588
1725.0,-0.0001876536614763446
1735.0,-0.00019926963108592166
1745.0,-0.0002102659496790735
1755.0,-0.00022039551223743616
1765.0,-0.00022938310623348435
1775.0,-0.0002369118477774493
1785.0,-0.0002426302479583703
1795.0,-0.0002461604449058299
1805.0,-0.0002471076398935827
1815.0,-0.0002450361466059915
1825.0,-0.0002395403765294102
1835.0,-0.0002303318328088346
1845.0,-0.00021721887524493415
1855.0,-0.00019979252000741255
1865.0,-0.0001774582071919339
1875.0,-0.00015050926853230902
1885.0,-0.00012122031197941761
1895.0,-9.138713046545238e-05
1905.0,-5.6334357954813495e-05
1915.0,-1.7785708586367198e-05
