z,WindDir
5.0,239.37535141490656
15.0,239.53755249830715
25.0,239.6871451071907
35.0,239.7885235793456
45.0,239.86659530003445
55.0,239.9227077188186
65.0,239.95949546237694
75.0,239.98565344411998
85.0,240.00047554263966
95.0,240.0052881574528
105.0,240.00193265475247
115.0,239.99417940549404
125.0,239.98244475296107
135.0,239.96742962906671
145.0,239.95080698501258
155.0,239.9334112978839
165.0,239.91549190924073
175.0,239.89825151381996
185.0,239.8809099369756
195.0,239.86363009835856
205.0,239.84761914695423
215.0,239.83584881655122
225.0,239.8280382933444
235.0,239.82292022032993
245.0,239.82173476102278
255.0,239.82403781990917
265.0,239.82701462958238
275.0,239.8289674520171
285.0,239.82987757225914
295.0,239.83047689405595
305.0,239.83367395580268
315.0,239.84027988642538
325.0,239.8490340187891
335.0,239.86007002557676
345.0,239.87227763685945
355.0,239.8848895512952
365.0,239.89923417162365
375.0,239.9169591016869
385.0,239.93663066383624
395.0,239.95698914624012
405.0,239.97785947391426
415.0,240.0007670484116
425.0,240.0291502531835
435.0,240.0652149271053
445.0,240.10701447380094
455.0,240.15212029753724
465.0,240.199581491998
475.0,240.24774320165895
485.0,240.29573336243374
495.0,240.3445413851124
505.0,240.39428285723207
515.0,240.44511546913373
525.0,240.4971838208253
535.0,240.55068306127112
545.0,240.60685903023864
555.0,240.66619203572276
565.0,240.7269640445947
575.0,240.786957459816
585.0,240.8462688163977
595.0,240.90611406211798
605.0,240.9673041766775
615.0,241.02951508740068
625.0,241.09165930630655
635.0,241.1544264335476
645.0,241.2214489382156
655.0,241.29738325644345
665.0,241.38264027300625
675.0,241.4775908823622
685.0,241.586267043443
695.0,241.7177397686906
705.0,241.8802122907646
715.0,242.08764188853914
725.0,242.3641698080816
735.0,242.74273626330734
745.0,243.27630737655
755.0,244.029945285933
765.0,245.06226212324083
775.0,246.34267622947004
785.0,247.66222562888152
795.0,248.73329888318884
805.0,249.41185074508414
815.0,249.7520061113878
825.0,249.8945891475822
835.0,249.95390372793742
845.0,249.99000556848426
855.0,250.02278957607646
865.0,250.05098521075993
875.0,250.06920204869823
885.0,250.07663024426168
895.0,250.07732928980218
905.0,250.07644127729148
915.0,250.07692186305667
925.0,250.07856061430306
935.0,250.08003276832065
945.0,250.08074442173657
955.0,250.08094706504912
965.0,250.08105374111153
975.0,250.08119220630184
985.0,250.08130330670267
995.0,250.08134878951432
1005.0,250.08135703448266
1015.0,250.0813630081559
1025.0,250.0813685840627
1035.0,250.0813640362638
1045.0,250.08133901525397
1055.0,250.08129732687428
1065.0,250.08124613401748
1075.0,250.08119404658942
1085.0,250.081153346555
1095.0,250.08113842106002
1105.0,250.0811521160464
1115.0,250.0811897579579
1125.0,250.08123480970406
1135.0,250.0812654027382
1145.0,250.08126492724784
1155.0,250.08122764733136
1165.0,250.081158811438
1175.0,250.08106769814967
1185.0,250.08096695177758
1195.0,250.08086742206842
1205.0,250.0807752829364
1215.0,250.08069151511907
1225.0,250.08061355265284
1235.0,250.08053981320447
1245.0,250.08046909768703
1255.0,250.08040193409306
1265.0,250.08033607865985
1275.0,250.08027094071156
1285.0,250.08020738606896
1295.0,250.0801486554287
1305.0,250.08009792958433
1315.0,250.08005567057415
1325.0,250.0800195779985
1335.0,250.07998694876795
1345.0,250.0799557061832
1355.0,250.0799258644646
1365.0,250.07989771971052
1375.0,250.0798710776549
1385.0,250.0798439380498
1395.0,250.07981348360033
1405.0,250.07977817021117
1415.0,250.07973873795126
1425.0,250.07969737095368
1435.0,250.079656251263
1445.0,250.07961634944644
1455.0,250.0795780524829
1465.0,250.0795417281025
1475.0,250.07950831799073
1485.0,250.07947896195222
1495.0,250.0794547183812
1505.0,250.0794366028527
1515.0,250.07942565732233
1525.0,250.07942259084456
1535.0,250.07942751955756
1545.0,250.07943950163198
1555.0,250.07945622383946
1565.0,250.079474190126
1575.0,250.07948928028432
1585.0,250.07949715810022
1595.0,250.079494157691
1605.0,250.0794785514828
1615.0,250.0794518148572
1625.0,250.07941889724435
1635.0,250.0793874176063
1645.0,250.07936593412379
1655.0,250.07936242082883
1665.0,250.07938329753438
1675.0,250.0794332139553
1685.0,250.07951578268333
1695.0,250.07963462111312
1705.0,250.07979325133928
1715.0,250.0799938967073
1725.0,250.080235911623
1735.0,250.08051476279013
1745.0,250.0808217943534
1755.0,250.08114509000654
1765.0,250.0814709056147
1775.0,250.08178505896194
1785.0,250.08207316287243
1795.0,250.0823199565569
1805.0,250.08250906949422
1815.0,250.08262507780768
1825.0,250.0826573598308
1835.0,250.0826038548697
1845.0,250.08247122280966
1855.0,250.08227398306053
1865.0,250.08203799912187
1875.0,250.08179993336594
1885.0,250.08158733675464
1895.0,250.08140895341438
1905.0,250.08127953942807
1915.0,250.0812253174576
