x,y,z,velocityx_avg,velocityy_avg,velocityz_avg,temperature_avg
1800.0,1800.0,10.0,6.791184144772966,4.234218111236998,-0.053627041466515354,300.1859087303097
1800.0,1800.0,20.0,8.184472105203168,5.134343288420836,-0.0946400161031532,300.16898786367847
1800.0,1800.0,30.0,8.895464958364792,5.618768221102269,-0.12124452527634062,300.15655893735016
1800.0,1800.0,40.0,9.261526416403369,5.902714410058221,-0.1537887434010688,300.1482312818316
1800.0,1800.0,50.0,9.48209009400884,6.090233702935939,-0.18080349563028472,300.1432387723394
1800.0,1800.0,60.0,9.659601261006557,6.213460252887494,-0.1791336335224458,300.1402516656275
1800.0,1800.0,70.0,9.851223614520114,6.2901143963309485,-0.1593590236993979,300.137662616911
1800.0,1800.0,80.0,10.012551765572125,6.3090483492969005,-0.14052480726094851,300.13510747274165
1800.0,1800.0,90.0,10.102083152383065,6.281710937118959,-0.13081276993212954,300.13304825976644
1800.0,1800.0,100.0,10.150084767602277,6.246733141135182,-0.1299745603438078,300.13132888374344
1800.0,1800.0,110.0,10.161875457972032,6.198022334504572,-0.13142529054164082,300.1296410426632
1800.0,1800.0,120.0,10.138413874698918,6.129345150073155,-0.12714894135108085,300.1279311206519
1800.0,1800.0,130.0,10.113167256841558,6.0551197428001755,-0.1137198294742857,300.12673912837346
1800.0,1800.0,140.0,10.089458427908136,5.970828280620762,-0.0883491272687119,300.1264252480759
1800.0,1800.0,150.0,10.053549438225756,5.896265684359644,-0.05534677981210161,300.1267182651542
1800.0,1800.0,160.0,10.024376644312824,5.8594147701115,-0.02347235359648183,300.1274628299072
1800.0,1800.0,170.0,10.013452751045321,5.857400456789479,0.010333295568516919,300.1282967720289
1800.0,1800.0,180.0,10.019105281576076,5.886335011521213,0.0486571255996428,300.12871310453255
1800.0,1800.0,190.0,10.051061886696251,5.948577838008298,0.08168525188189973,300.1284861063845
1800.0,1800.0,200.0,10.108334861942499,6.015376437347631,0.09818574322452135,300.12754173273544
