f,Suu,Svv,Sww
0.0,0.0,0.0,0.0
0.0002,0.0002576591606402569,4.428976672463297e-05,5.607964770840804e-06
0.0004,0.0004754177344997306,8.643920974301793e-05,1.1213160922032824e-05
0.0006,0.0006603604830767068,0.00012657067252945859,1.681389118378097e-05
0.0008,0.0008181001428573028,0.0001647980717080766,2.2408760307389255e-05
0.001,0.000953127447981358,0.00020122757998206818,2.7996532648586907e-05
0.0012,0.0010690679390031623,0.00023595824543006774,3.3576080167098225e-05
0.0014,0.0011688728785946708,0.0002690825538595163,3.914635545633979e-05
0.0016,0.0012549629023540939,0.0003006869401251827,4.4706375447193905e-05
0.0018,0.0013293373098087707,0.00033085225363956245,5.025521061654396e-05
0.002,0.0013936580675679945,0.00035965418270675673,5.579197738285551e-05
0.0022,0.0014493149884691645,0.0003871636417907553,6.131583249912971e-05
0.0024,0.0014974767499669416,0.0004134471253726593,6.682596877252146e-05
0.0026,0.001539131155070672,0.0004385670316506669,7.232161170527091e-05
0.0028,0.001575117146418981,0.0004625819589842045,7.780201679841352e-05
0.003,0.001606150444159725,0.00048554697767310047,8.326646734612176e-05
0.0032,0.001632844214587952,0.0005075138793887291,8.871427260193921e-05
0.0034,0.0016557258370375188,0.0005285314063319254,9.414476623256126e-05
0.0036,0.0016752505856514428,0.0005486454619781561,9.955730499773616e-05
0.0038,0.0016918128555898997,0.0005678993050804637,0.0001049512676105835
0.004,0.0017057554225674944,0.0005863337284320465,0.00011032605374369046
0.0042,0.001717377117992601,0.0006039872237404177,0.00011568108315430269
0.0044,0.001726939220562393,0.0006208961338316115,0.00012101579490775823
0.0046,0.0017346708025498172,0.0006370947932839367,0.00012632964668266426
0.0048,0.0017407732205371345,0.0006526156584845724,0.00013162211414461083
0.005,0.0017454239025740188,0.0006674894280073834,0.00013689269037774445
0.0052,0.0017487795541243141,0.0006817451541254014,0.00014214088536549158
0.0054,0.0017509788818166937,0.0006954103461953047,0.0001473662255132678
0.0056,0.0017521449155041688,0.00070851106658296,0.00015256825320723524
0.0058,0.0017523869943860708,0.000721072019737783,0.0001577465264041573
0.006,0.001751802471131758,0.0007331166349685253,0.00016290061824819342
0.0062,0.0017504781784379337,0.0007446671434234804,0.00016803011671112777
0.0064,0.0017484916947656342,0.000755744649733372,0.0001731346242530574
0.0066,0.0017459124397626383,0.0007663691987348355,0.00017821375750100556
0.0068,0.0017428026247890062,0.0007765598376559747,0.0001832671469432947
0.007,0.0017392180797984123,0.0007863346741125245,0.00018829443663781663
0.0072,0.0017352089744052128,0.0007957109302333498,0.00019329528393259853
0.0074,0.0017308204481440868,0.0008047049932070005,0.0001982693591972809
0.0076,0.0017260931625923193,0.0008133324625165559,0.00020321634556430622
0.0078,0.0017210637860839084,0.0008216081941077803,0.00020813593867877961
0.008,0.001715765420127292,0.0008295463417154098,0.0002130278464560944
0.0082,0.0017102279752864403,0.0008371603955540387,0.00021789178884653302
0.0084,0.0017044785031513207,0.0008444632185633727,0.00022272749760615578
0.0086,0.0016985414900702728,0.0008514670803823882,0.00022753471607337355
0.0088,0.0016924391175126732,0.0008581836892130707,0.00023231319895067925
0.009,0.0016861914932501938,0.0008646242217217395,0.00023706271209107663
0.0092,0.0016798168569682513,0.0008707993511144086,0.00024178303228880208
0.0094,0.0016733317634289803,0.0008767192735120657,0.00024647394707398703
0.0096,0.0016667512458892041,0.0008823937327420803,0.00025113525451094974
0.0098,0.0016600889621199225,0.0008878320436531147,0.0002557667629998477
0.01,0.001653357325068135,0.0008930431140527931,0.0002603682910814493
0.0102,0.001646567619939483,0.0008980354653599562,0.0002649396672448223
0.0104,0.0016397301092545226,0.0009028172520565154,0.0002694807297377535
0.0106,0.0016328541272369673,0.0009073962800176472,0.0002739913263797447
0.0108,0.0016259481647241964,0.0009117800237933255,0.00027847131437744565
0.011,0.0016190199456449673,0.0009159756429088885,0.00028292056014240504
0.0112,0.0016120764959831728,0.0009199899972474831,0.0002873389391110376
0.0114,0.00160512420603695,0.000923829661572729,0.00029172633556671647
0.0116,0.0015981688866871116,0.0009275009392458297,0.00029608264246391364
0.0118,0.0015912158203057643,0.0009310098751875404,0.00030040776125432627
0.012,0.0015842698068633415,0.0009343622681318907,0.0003047016017149286
0.0122,0.0015773352057287858,0.0009375636822153226,0.0003089640817779065
0.0124,0.0015704159736019416,0.000940619457941893,0.00031319512736243164
0.0126,0.0015635156989683538,0.0009435347225624365,0.00031739467220824483
0.0128,0.001556637633423725,0.000946314399903011,0.00032156265771101993
0.013,0.001549784720177452,0.0009489632196755792,0.00032569903275948814
0.0132,0.0015429596200113378,0.0009514857263016878,0.00032980375357430353
0.0134,0.0015361647349401279,0.0009538862872778633,0.00033387678354863763
0.0136,0.0015294022297944595,0.0009561691011095656,0.0003379180930904926
0.0138,0.0015226740519238028,0.0009583382048387836,0.00034192765946672624
0.014,0.001515981949196513,0.0009603974811887386,0.0003459054666487831
0.0142,0.0015093274864559465,0.0009623506653476428,0.0003498515051601314
0.0144,0.0015027120605755188,0.000964201351412074,0.0003537657719254024
0.0146,0.001496136914241175,0.0009659529985092123,0.0003576482701212357
0.0148,0.00148960314857698,0.0009676089366159693,0.0003614990090288298
0.015,0.0014831117347181262,0.0009691723720919378,0.0003653180038882037
0.0152,0.0014766635244254421,0.0009706463929419972,0.00036910527575417156
0.0154,0.0014702592598264026,0.0009720339738234733,0.00037286085135403445
0.0156,0.0014638995823594587,0.000973337980811818,0.0003765847629469956
0.0158,0.0014575850409912039,0.0009745611759379183,0.0003802770481853036
0.016,0.0014513160997693443,0.0009757062215093732,0.0003839377499771266
0.0162,0.0014450931447685333,0.0009767756842273122,0.0003875669163511667
0.0164,0.0014389164904808577,0.0009777720391096572,0.00039116460032301444
0.0166,0.0014327863856979817,0.0009786976732310646,0.0003947308597632533
0.0168,0.001426703018927683,0.0009795548892892064,0.00039826575726731436
0.017,0.0014206665233836356,0.0009803459090064516,0.00040176936002708834
0.0172,0.001414676981583807,0.0009810728763755153,0.00040524173970429595
0.0174,0.0014087344295897013,0.0009817378607571156,0.00040868297230562236
0.0176,0.0014028388609157948,0.0009823428598372476,0.0004120931380596169
0.0178,0.001396990230135996,0.0009828898024512205,0.00041547232129535963
0.018,0.0013911884562115497,0.000983380551281222,0.00041882061032289707
0.0182,0.0013854334255627627,0.0009838169054337755,0.00042213809731544966
0.0184,0.0013797249949049721,0.0009842006029031104,0.0004254248781933852
0.0186,0.0013740629938674362,0.0009845333229261215,0.0004286810525099662
0.0188,0.0013684472274122686,0.000984816688234286,0.00043190672333886235
0.019,0.001362877478069082,0.000985052267207607,0.00043510199716343046
0.0192,0.0013573535079997004,0.0009852415759353792,0.00043826698376775886
0.0194,0.0013518750609061206,0.0009853860801883006,0.0004414017961294714
