z,Uhoriz
5.0,7.086143192407615
15.0,8.892013160063735
25.0,9.82173556566659
35.0,10.347215619566079
45.0,10.677374244005094
55.0,10.908479260611136
65.0,11.084850388881742
75.0,11.227628826969012
85.0,11.347739666442077
95.0,11.451912481048947
105.0,11.544291852048378
115.0,11.62683493964423
125.0,11.700539318751305
135.0,11.766030582536953
145.0,11.824117594102617
155.0,11.876319444670605
165.0,11.923838562940135
175.0,11.967782400136132
185.0,12.008678877044565
195.0,12.046683730999549
205.0,12.081920879982821
215.0,12.114428771431065
225.0,12.144576729357418
235.0,12.17281925854837
245.0,12.19921856183841
255.0,12.223912421810052
265.0,12.24702678432415
275.0,12.268095410278379
285.0,12.286928158933735
295.0,12.303870288985832
305.0,12.31909425161791
315.0,12.332942083215787
325.0,12.345946577359308
335.0,12.358146103155798
345.0,12.369406320197307
355.0,12.379869350428628
365.0,12.389488605989653
375.0,12.398141519981825
385.0,12.405934112630998
395.0,12.413342909216878
405.0,12.420419364401367
415.0,12.426574495137466
425.0,12.431946258859808
435.0,12.437122014713355
445.0,12.442460107312867
455.0,12.448059341312959
465.0,12.454403133511585
475.0,12.461579981330855
485.0,12.469477373185924
495.0,12.478022174803858
505.0,12.487140059383723
515.0,12.49671965817729
525.0,12.506798589528284
535.0,12.517590107640935
545.0,12.529377682216595
555.0,12.542556311218176
565.0,12.557149868059255
575.0,12.573419172475328
585.0,12.592095522093311
595.0,12.61302345610673
605.0,12.636247196146538
615.0,12.661989598129582
625.0,12.69015038218846
635.0,12.721169151789631
645.0,12.755077748049775
655.0,12.792241938077062
665.0,12.833008152667063
675.0,12.877602308123654
685.0,12.926551743297912
695.0,12.980889942332526
705.0,13.042561398932955
715.0,13.114651192092213
725.0,13.201900071182125
735.0,13.313453504059302
745.0,13.46502497682043
755.0,13.677339170554415
765.0,13.971570571654391
775.0,14.35005648742712
785.0,14.75754298814886
795.0,15.08668616106262
805.0,15.275599966243432
815.0,15.356916019234756
825.0,15.392234970944575
835.0,15.416790071205297
845.0,15.439807576213994
855.0,15.459614274925094
865.0,15.472106327838379
875.0,15.475938128308352
885.0,15.474322975991077
895.0,15.471436452718448
905.0,15.469535133683333
915.0,15.468950418924344
925.0,15.469022145435487
935.0,15.46911584067299
945.0,15.469018971568598
955.0,15.468819721877491
965.0,15.468643915083382
975.0,15.468528038371433
985.0,15.468445730102951
995.0,15.46836974732789
1005.0,15.468293721250545
1015.0,15.468224047849551
1025.0,15.468165011824652
1035.0,15.468116540334254
1045.0,15.468076585661397
1055.0,15.468043706385222
1065.0,15.468017891061786
1075.0,15.467997982891806
1085.0,15.467982458295667
1095.0,15.467969560339991
1105.0,15.467958257470983
1115.0,15.4679482052491
1125.0,15.467939095725445
1135.0,15.46793297287472
1145.0,15.467933407344262
1155.0,15.46794312969551
1165.0,15.467962952355437
1175.0,15.467991999339674
1185.0,15.468028157128689
1195.0,15.468068917157492
1205.0,15.46811239619566
1215.0,15.468157542878116
1225.0,15.468203426075604
1235.0,15.468248574010873
1245.0,15.468290794406032
1255.0,15.468328316577637
1265.0,15.46836050808373
1275.0,15.46838704865647
1285.0,15.4684074772732
1295.0,15.468421619582543
1305.0,15.468429570717097
1315.0,15.468432127398547
1325.0,15.468430719552561
1335.0,15.468426933504034
1345.0,15.468421410678209
1355.0,15.468414257911085
1365.0,15.468405392266932
1375.0,15.468395390541827
1385.0,15.468385102116164
1395.0,15.468375683514257
1405.0,15.468367715991693
1415.0,15.468361485952022
1425.0,15.468356406641984
1435.0,15.468351657750823
1445.0,15.46834620028074
1455.0,15.468339625568943
1465.0,15.468331753841289
1475.0,15.468323100466653
1485.0,15.468314251428591
1495.0,15.468306193364771
1505.0,15.46829926106083
1515.0,15.468293241995175
1525.0,15.468286954316149
1535.0,15.468279209172946
1545.0,15.468268756172463
1555.0,15.468255075942817
1565.0,15.468237826520788
1575.0,15.468217247169067
1585.0,15.468193260118573
1595.0,15.468165697584785
1605.0,15.468133948236721
1615.0,15.468097863205015
1625.0,15.468057526502987
1635.0,15.46801386581061
1645.0,15.46796824176606
1655.0,15.467922961142616
1665.0,15.467880381961908
1675.0,15.467843016653678
1685.0,15.467812683156028
1695.0,15.467790941305397
1705.0,15.467778377765937
1715.0,15.467775160145708
1725.0,15.467780777646214
1735.0,15.467795213680555
1745.0,15.467818727934203
1755.0,15.467852459468862
1765.0,15.467897846773678
1775.0,15.467957077415166
1785.0,15.468032259410927
1795.0,15.468125578829081
1805.0,15.468238600608633
1815.0,15.468372688789552
1825.0,15.468527556068999
1835.0,15.46870064562941
1845.0,15.468886801899234
1855.0,15.469081351071083
1865.0,15.469279935058688
1875.0,15.469473467577
1885.0,15.469643150173686
1895.0,15.46977686541147
1905.0,15.469875907343157
1915.0,15.469934058079248
