z,vw
5.0,0.00891242929746988
15.0,0.05225819096122202
25.0,0.10193812568997308
35.0,0.14548144651780834
45.0,0.17876646025836593
55.0,0.20178426780719072
65.0,0.21650176631809567
75.0,0.225114079618657
85.0,0.2294562489651587
95.0,0.23097695990843986
105.0,0.2307619688476851
115.0,0.2295025625746135
125.0,0.22749770275400685
135.0,0.2249970470186898
145.0,0.22227155498022136
155.0,0.21946388905132902
165.0,0.2165988632643499
175.0,0.21370141838568282
185.0,0.2108092786964716
195.0,0.20792188315235358
205.0,0.20504248523403157
215.0,0.2022055600869643
225.0,0.1994349107839287
235.0,0.19669420819629257
245.0,0.1939398771841081
255.0,0.19116407896949636
265.0,0.1883922922185404
275.0,0.1856901148250878
285.0,0.18309847025507037
295.0,0.18056236662929798
305.0,0.1780045149596871
315.0,0.17539136974984823
325.0,0.17269735643706768
335.0,0.16992178686944545
345.0,0.16708664341834759
355.0,0.16419226083756921
365.0,0.16123809096659109
375.0,0.1582494283642742
385.0,0.15523838738992196
395.0,0.15220166944066765
405.0,0.14912937409836022
415.0,0.14599877938039932
425.0,0.14281024208632262
435.0,0.13957515515123137
445.0,0.136323229552561
455.0,0.13308409106810726
465.0,0.12986545987747378
475.0,0.12665309210622894
485.0,0.12341709962719628
495.0,0.12015616807955296
505.0,0.11689658172602346
515.0,0.11366802512113998
525.0,0.11046484577856698
535.0,0.10721955053636983
545.0,0.10388188875973589
555.0,0.10046866646297546
565.0,0.0970101191852721
575.0,0.09350999380755576
585.0,0.08995231635578327
595.0,0.08632428542680196
605.0,0.08261946325661589
615.0,0.07879834470377549
625.0,0.074792317745462
635.0,0.07056462617081069
645.0,0.06615451918964589
655.0,0.06161260210170969
665.0,0.05695836641804814
675.0,0.05224371562781851
685.0,0.04753641082399733
695.0,0.04286055773585969
705.0,0.038277197661542785
715.0,0.033974473667027744
725.0,0.030288954385197065
735.0,0.027739460778447342
745.0,0.02706310089767574
755.0,0.029364388701375817
765.0,0.03589507178638268
775.0,0.04692690924311042
785.0,0.059686385362363634
795.0,0.06842262952210255
805.0,0.06909791376273339
815.0,0.06294084094670495
825.0,0.053790038463002246
835.0,0.044330408887114904
845.0,0.035600236982615274
855.0,0.027965725774881905
865.0,0.02164079552494912
875.0,0.016693428475391615
885.0,0.012987433070798676
895.0,0.01026275278473896
905.0,0.008257856596339963
915.0,0.00676749835612038
925.0,0.00564529027713357
935.0,0.004791020401897826
945.0,0.004136525960703071
955.0,0.0036337046538030614
965.0,0.003246773053635214
975.0,0.002948409146196235
985.0,0.0027179127676520637
995.0,0.002539826928482007
1005.0,0.0024025968610743176
1015.0,0.002297446836251368
1025.0,0.0022175830902300005
1035.0,0.0021576699063170154
1045.0,0.0021134805650919047
1055.0,0.0020816340586319424
1065.0,0.0020593839057934595
1075.0,0.0020444688976279956
1085.0,0.002035026028856055
1095.0,0.0020295382597137397
1105.0,0.002026793054076568
1115.0,0.0020258521195089885
1125.0,0.00202602597440952
1135.0,0.0020268235532095655
1145.0,0.0020278789818975037
1155.0,0.0020289051688023576
1165.0,0.0020296887778320522
1175.0,0.0020300951351568367
1185.0,0.0020300659938374643
1195.0,0.0020296121478009825
1205.0,0.0020287917865422582
1215.0,0.0020276730868229813
1225.0,0.0020263044811761615
1235.0,0.0020247086264539144
1245.0,0.002022898888916285
1255.0,0.0020209065229554505
1265.0,0.0020187916557127205
1275.0,0.002016622616699706
1285.0,0.002014447862818169
1295.0,0.0020122929998495197
1305.0,0.002010178726147918
1315.0,0.002008133173819776
1325.0,0.002006186794377039
1335.0,0.0020043618393481666
1345.0,0.0020026709778130465
1355.0,0.002001120741742824
1365.0,0.001999710028566042
1375.0,0.0019984233789914364
1385.0,0.0019972229678347875
1395.0,0.0019960419671535457
1405.0,0.0019947852503141746
1415.0,0.001993346200568537
1425.0,0.001991633350506889
1435.0,0.001989581349267699
1445.0,0.0019871309569872747
1455.0,0.0019841960328174906
1465.0,0.001980650153387048
1475.0,0.001976345247423161
1485.0,0.001971145832950921
1495.0,0.001964953917975969
1505.0,0.001957712605381805
1515.0,0.0019493926784316712
1525.0,0.0019399728903229565
1535.0,0.001929421760423568
1545.0,0.0019176832283539036
1555.0,0.001904667130379533
1565.0,0.0018902476228349523
1575.0,0.0018742714299684405
1585.0,0.0018565723193495396
1595.0,0.0018369860673170648
1605.0,0.001815363797099743
1615.0,0.0017915842656692417
1625.0,0.0017655629078541467
1635.0,0.0017372524408984097
1645.0,0.0017066316185265827
1655.0,0.0016736839310114986
1665.0,0.0016383722157267116
1675.0,0.0016006163496167449
1685.0,0.0015602809348154267
1695.0,0.001517177982901904
1705.0,0.0014710849087302788
1715.0,0.0014217717699541543
1725.0,0.0013690283634551293
1735.0,0.0013126835462668625
1745.0,0.0012526122031128039
1755.0,0.0011887286152763427
1765.0,0.0011209736701171486
1775.0,0.0010493174913157556
1785.0,0.0009738028801306749
1795.0,0.0008946323130477157
1805.0,0.000812259873333342
1815.0,0.0007274205619342796
1825.0,0.0006410428347061033
1835.0,0.0005540563745725377
1845.0,0.0004672097954839492
1855.0,0.00038109286262403533
1865.0,0.0002965168859231426
1875.0,0.00021517422365452445
1885.0,0.00014018577635001536
1895.0,7.61485031018929e-05
1905.0,2.8685677588785056e-05
1915.0,3.2630549096197964e-06
