z,T
5.0,300.2242809876646
15.0,300.20608417402093
25.0,300.1918024716419
35.0,300.18183222661395
45.0,300.1749166495106
55.0,300.16989274552526
65.0,300.16604584531035
75.0,300.1629609722292
85.0,300.16040543457166
95.0,300.15823814123587
105.0,300.15637019814176
115.0,300.1547344061448
125.0,300.15329572336395
135.0,300.1520175122269
145.0,300.15087075193526
155.0,300.14983039676093
165.0,300.1488824432917
175.0,300.1480161939046
185.0,300.1472299151902
195.0,300.14651390496965
205.0,300.14585552977024
215.0,300.1452471311556
225.0,300.1446895378431
235.0,300.14418005633485
245.0,300.1437129822849
255.0,300.14327952253024
265.0,300.14287932676723
275.0,300.14250984731837
285.0,300.14217516804223
295.0,300.14187497411007
305.0,300.14160614909287
315.0,300.1413651039774
325.0,300.1411529852987
335.0,300.1409665701578
345.0,300.14080357999154
355.0,300.14066242873344
365.0,300.14054256762796
375.0,300.1404472441114
385.0,300.140378075175
395.0,300.14033693878076
405.0,300.14032779295593
415.0,300.1403486942773
425.0,300.1404001233945
435.0,300.14047924520423
445.0,300.14058544460244
455.0,300.14072207336795
465.0,300.14089470539847
475.0,300.14110703032685
485.0,300.14136542931686
495.0,300.14166998555487
505.0,300.14202073431943
515.0,300.14242790971
525.0,300.14290130284286
535.0,300.1434512128776
545.0,300.14409050487114
555.0,300.144828968865
565.0,300.1456799390923
575.0,300.14665836690153
585.0,300.147786487821
595.0,300.14909370046524
605.0,300.1506274184625
615.0,300.1524423392985
625.0,300.15461375817375
635.0,300.1572265812039
645.0,300.1604241496736
655.0,300.16437784697683
665.0,300.1693528879633
675.0,300.1757291648289
685.0,300.1841185436127
695.0,300.19545793662985
705.0,300.21122639289285
715.0,300.2340432410707
725.0,300.2683767808021
735.0,300.3220025327382
745.0,300.4090128226335
755.0,300.5571605458087
765.0,300.8176655410246
775.0,301.2689856646211
785.0,301.981378671251
795.0,302.9409797567895
805.0,304.02812354265586
815.0,305.09677183546626
825.0,306.0436396075799
835.0,306.81537947851183
845.0,307.3930651290085
855.0,307.77750078991113
865.0,307.98982398725616
875.0,308.0813016173538
885.0,308.1162741849964
895.0,308.13742830745184
905.0,308.16135269026165
915.0,308.1909811029513
925.0,308.223445269576
935.0,308.2554188692087
945.0,308.28585958442744
955.0,308.31547030340306
965.0,308.34512591504154
975.0,308.3750749083643
985.0,308.40514949801747
995.0,308.43518579795784
1005.0,308.4651678148638
1015.0,308.49513701736083
1025.0,308.52511737535946
1035.0,308.5551052330157
1045.0,308.58509490147463
1055.0,308.6150849072169
1065.0,308.645075556937
1075.0,308.67506664966805
1085.0,308.70505693616764
1095.0,308.735047269861
1105.0,308.7650368219381
1115.0,308.795026482349
1125.0,308.8250152497547
1135.0,308.85500516972223
1145.0,308.88499527464944
1155.0,308.91498652978964
1165.0,308.9449767324817
1175.0,308.97496777298034
1185.0,309.0049585059027
1195.0,309.0349506648851
1205.0,309.06494301514726
1215.0,309.0949375206217
1225.0,309.1249331736316
1235.0,309.15493137631165
1245.0,309.18493057974507
1255.0,309.21493171056113
1265.0,309.2449328862092
1275.0,309.2749352106031
1285.0,309.30493793323654
1295.0,309.33494320876235
1305.0,309.3649497030676
1315.0,309.39495852027557
1325.0,309.4249671599745
1335.0,309.4549769297384
1345.0,309.48498480440287
1355.0,309.51499243978503
1365.0,309.5449982594841
1375.0,309.5750057585819
1385.0,309.60501247329523
1395.0,309.63501987771406
1405.0,309.6650245668026
1415.0,309.69502919985433
1425.0,309.72503100443595
1435.0,309.75503249583807
1445.0,309.78503195278864
1455.0,309.8150334043995
1465.0,309.8450344609959
1475.0,309.875037407505
1485.0,309.905038728588
1495.0,309.93504168808374
1505.0,309.9650424594236
1515.0,309.99504355947727
1525.0,310.0250421038261
1535.0,310.05504255969925
1545.0,310.0850420546651
1555.0,310.1150428536668
1565.0,310.1450406938074
1575.0,310.17503821511434
1585.0,310.2050317826663
1595.0,310.2350237669477
1605.0,310.26501202046285
1615.0,310.2950007358959
1625.0,310.3249881628401
1635.0,310.3549771361872
1645.0,310.3849644910027
1655.0,310.4149532061016
1665.0,310.4449394350834
1675.0,310.47492562486286
1685.0,310.50490880049017
1695.0,310.5348933165713
1705.0,310.5648762445235
1715.0,310.59486041700586
1725.0,310.6248420588315
1735.0,310.6548248099257
1745.0,310.6848050077607
1755.0,310.71478503327995
1765.0,310.7447616831456
1775.0,310.77473887145317
1785.0,310.8047143818682
1795.0,310.8346920769241
1805.0,310.86467002075193
1815.0,310.89465179384564
1825.0,310.92463045707296
1835.0,310.9546087521718
1845.0,310.9845966292319
1855.0,311.014613596178
1865.0,311.0446133627279
1875.0,311.07447714142756
1885.0,311.10421485371586
1895.0,311.13435982299444
1905.0,311.165506056688
1915.0,311.19492688862704
