z,uw
5.0,-0.03044782127766034
15.0,-0.12123248354724458
25.0,-0.15485728265714574
35.0,-0.1683005857366269
45.0,-0.17316024358987012
55.0,-0.1750797769118093
65.0,-0.17529185276962217
75.0,-0.17465854063510047
85.0,-0.17347373492613674
95.0,-0.17187962258500386
105.0,-0.16999074090522234
115.0,-0.16781769592056567
125.0,-0.16542027438866325
135.0,-0.1628491453196223
145.0,-0.16018953077277395
155.0,-0.15747623578640527
165.0,-0.15469020554145047
175.0,-0.15185244975357814
185.0,-0.14903967733565207
195.0,-0.1462551245571038
205.0,-0.1435745068795862
215.0,-0.14103730827845484
225.0,-0.13860134952448983
235.0,-0.13621042921560583
245.0,-0.13389533390100714
255.0,-0.1316639572523869
265.0,-0.12953906122996683
275.0,-0.127480363833332
285.0,-0.12538942782043933
295.0,-0.12319979997670819
305.0,-0.1209163415386197
315.0,-0.11855419410476198
325.0,-0.11616622811479337
335.0,-0.1137887333035638
345.0,-0.11144388036158047
355.0,-0.10913939377134091
365.0,-0.10688482906189811
375.0,-0.10470360479246207
385.0,-0.10261598251070282
395.0,-0.10060704392560241
405.0,-0.0986859311525642
415.0,-0.0968217733225172
425.0,-0.09497183606335921
435.0,-0.09312136758280097
445.0,-0.09122842833311622
455.0,-0.08928398192989473
465.0,-0.08726588042971534
475.0,-0.08516506787979466
485.0,-0.08292939528900406
495.0,-0.08058239465483806
505.0,-0.07811137475010936
515.0,-0.07548518485976675
525.0,-0.07271125340675991
535.0,-0.06982825716334959
545.0,-0.06687183434482648
555.0,-0.0639151388292942
565.0,-0.06102319091038193
575.0,-0.058179374512922606
585.0,-0.05536507396587136
595.0,-0.05260216613960164
605.0,-0.04985989554807555
615.0,-0.04716002171782429
625.0,-0.044479938336685
635.0,-0.04182072073047772
645.0,-0.039204868111773164
655.0,-0.03660220694346475
665.0,-0.03399041239824805
675.0,-0.031326273974807584
685.0,-0.028611714079956597
695.0,-0.025880590192957197
705.0,-0.023101880040440347
715.0,-0.020282922964159063
725.0,-0.017473010529999725
735.0,-0.014719266013160766
745.0,-0.012103128531104668
755.0,-0.009647046846283553
765.0,-0.007123233487503743
775.0,-0.004381873454316675
785.0,-0.0019390685293399195
795.0,-0.0006010993371875457
805.0,-5.4682399538116597e-05
815.0,0.0001491963038087654
825.0,0.0002542875544223824
835.0,0.0002900926058619894
845.0,0.00028523631503305885
855.0,0.0002750172496274523
865.0,0.0002652502045289708
875.0,0.0002613091052370333
885.0,0.00026179427124425534
895.0,0.0002641013415981547
905.0,0.0002642608995325574
915.0,0.00026262322224057086
925.0,0.0002606942048929802
935.0,0.00025857117494928
945.0,0.0002563154999117696
955.0,0.00025412655276489123
965.0,0.0002520289749573734
975.0,0.00024984078612914445
985.0,0.00024737752145470473
995.0,0.0002446755188648046
1005.0,0.0002420120247979688
1015.0,0.00023966544671154716
1025.0,0.000237738685553738
1035.0,0.00023612520462035964
1045.0,0.00023469463714963936
1055.0,0.00023341829457496627
1065.0,0.00023232269680585098
1075.0,0.0002314893052244751
1085.0,0.0002310243373960884
1095.0,0.00023104815078961978
1105.0,0.0002316435130312281
1115.0,0.0002328047545179671
1125.0,0.00023444300572483882
1135.0,0.0002364145741862618
1145.0,0.000238518072206055
1155.0,0.00024048819001587756
1165.0,0.00024200279506871145
1175.0,0.00024270758724189112
1185.0,0.0002422954427611223
1195.0,0.00024059606174981236
1205.0,0.00023761964900960054
1215.0,0.0002335296430741899
1225.0,0.00022857165588718498
1235.0,0.00022301833135658126
1245.0,0.00021713047340990817
1255.0,0.00021113983239018377
1265.0,0.00020524563258732476
1275.0,0.0001996036710238911
1285.0,0.00019432788786223116
1295.0,0.0001895009229317804
1305.0,0.00018518233534237002
1315.0,0.00018139921430220237
1325.0,0.00017813194847999186
1335.0,0.00017530744121637182
1345.0,0.0001728044531671839
1355.0,0.00017048270450325577
1365.0,0.00016821651369019593
1375.0,0.00016593925681820482
1385.0,0.00016366864482075986
1395.0,0.0001614987237699365
1405.0,0.00015956666053122478
1415.0,0.0001580186349022586
1425.0,0.00015698903839803975
1435.0,0.00015659489362921625
1445.0,0.0001569324990616038
1455.0,0.0001580671913443819
1465.0,0.00016001142342340433
1475.0,0.0001627039922537235
1485.0,0.00016599429634556794
1495.0,0.00016964183904522782
1505.0,0.00017333626959369888
1515.0,0.0001767365864851991
1525.0,0.0001795163283267908
1535.0,0.00018140513404508923
1545.0,0.00018221520996251886
1555.0,0.00018184608725992188
1565.0,0.00018027539766537953
1575.0,0.0001775448442016133
1585.0,0.00017374725267685313
1595.0,0.0001690103160992971
1605.0,0.0001634819304652267
1615.0,0.00015731571519824196
1625.0,0.00015065744746228926
1635.0,0.00014363260358551573
1645.0,0.0001363384058897068
1655.0,0.00012884285166443036
1665.0,0.00012118791715526842
1675.0,0.00011339526947835114
1685.0,0.00010547007092451912
1695.0,9.740665592633484e-05
1705.0,8.919688441844898e-05
1715.0,8.08493606966996e-05
1725.0,7.241058259489037e-05
1735.0,6.398179463690681e-05
1745.0,5.571749425068311e-05
1755.0,4.780516373674755e-05
1765.0,4.042991127769273e-05
1775.0,3.3738635681232365e-05
1785.0,2.781721806481116e-05
1795.0,2.2688749958086386e-05
1805.0,1.8325067410945835e-05
1815.0,1.4663321939927952e-05
1825.0,1.1617624710317096e-05
1835.0,9.092120229518807e-06
1845.0,6.995603978738444e-06
1855.0,5.254228425101451e-06
1865.0,3.8113686012884075e-06
1875.0,2.6218809278737803e-06
1885.0,1.6635640060270722e-06
1895.0,9.61856366980329e-07
1905.0,4.950779799681564e-07
1915.0,1.539505892115329e-07
