z,T
2.4347826086956523,290.51481447661047
7.304347826086957,290.5148507582235
12.173913043478262,290.5149013748983
17.043478260869566,290.5149599075976
21.91304347826087,290.5150179519662
26.782608695652176,290.5150742118717
31.65217391304348,290.51512953708294
36.52173913043478,290.51518494863075
41.39130434782609,290.5152410600577
46.26086956521739,290.5152986538398
51.1304347826087,290.51535867566565
56.0,290.5154209012033
60.86956521739131,290.51548586157276
65.73913043478261,290.515553406443
70.60869565217392,290.5156238849776
75.47826086956522,290.5156976218058
80.34782608695653,290.5157747138202
85.21739130434783,290.51585553240363
90.08695652173914,290.5159405420804
94.95652173913044,290.5160304319579
99.82608695652175,290.5161252348313
104.69565217391305,290.5162251483447
109.56521739130436,290.5163302759857
114.43478260869566,290.51643995530765
119.30434782608697,290.5165551681232
124.17391304347827,290.5166772361442
129.04347826086956,290.5168060656169
133.91304347826087,290.5169417268088
138.7826086956522,290.51708379039906
143.6521739130435,290.5172323652319
148.52173913043478,290.51738779628033
153.3913043478261,290.5175506140179
158.2608695652174,290.5177219345019
163.13043478260872,290.51790201364383
168.0,290.51809072142737
172.8695652173913,290.5182907379906
177.73913043478262,290.5185041632548
182.60869565217394,290.51873184998453
187.47826086956522,290.5189743492754
192.34782608695653,290.5192309222101
197.21739130434784,290.5195031037344
202.08695652173915,290.5197926786327
206.95652173913044,290.5201018112104
211.82608695652175,290.5204326090845
216.69565217391306,290.52078461936964
221.56521739130437,290.52116024003277
226.43478260869566,290.521565049704
231.30434782608697,290.52200495701874
236.17391304347828,290.5224810127477
241.0434782608696,290.52299666438546
245.91304347826087,290.5235613397099
250.7826086956522,290.52418238186004
255.6521739130435,290.52487181212723
260.5217391304348,290.5256448741551
265.3913043478261,290.5265186629087
270.26086956521743,290.5275127435817
275.1304347826087,290.52865954789945
280.0,290.5300067168316
284.8695652173913,290.53162224722365
289.7391304347826,290.53359541804303
294.60869565217394,290.5360380528042
299.47826086956525,290.5391193496487
304.34782608695656,290.543084289189
309.21739130434787,290.54829729542934
314.0869565217391,290.55532963866045
318.95652173913044,290.56499197489046
323.82608695652175,290.57846432782054
328.69565217391306,290.59754686969717
333.5652173913044,290.6248769459328
338.4347826086957,290.6637437088123
343.304347826087,290.71680691898274
348.1739130434783,290.78404020946675
353.04347826086956,290.86073479892656
357.9130434782609,290.93801182394986
362.7826086956522,291.0063586936769
367.6521739130435,291.0600933176911
372.5217391304348,291.0988146323059
377.3913043478261,291.1256762629603
382.26086956521743,291.14497026277104
387.13043478260875,291.1604184520243
392.0,291.1745181373571
396.8695652173913,291.1885618241237
401.7391304347826,291.20298678470374
406.60869565217394,291.2177667130554
411.47826086956525,291.2327313509423
416.34782608695656,291.24772702204547
421.21739130434787,291.2626638551475
426.0869565217392,291.27752953620615
430.95652173913044,291.2923438140998
435.82608695652175,291.3071332912912
440.69565217391306,291.32191830923665
445.5652173913044,291.3366991758219
450.4347826086957,291.35146944816915
455.304347826087,291.36620930193493
460.1739130434783,291.3808809516624
465.0434782608696,291.3954622758708
469.9130434782609,291.4099725189222
474.7826086956522,291.42446273762204
479.6521739130435,291.43893958038916
484.5217391304348,291.4533884178977
489.3913043478261,291.46782263152124
494.26086956521743,291.4822941679345
499.13043478260875,291.4968533086615
504.00000000000006,291.5115027866112
508.8695652173913,291.52620395752854
513.7391304347826,291.54092377549216
518.608695652174,291.5556342334558
523.4782608695652,291.57032098202853
528.3478260869565,291.5850058870844
533.2173913043479,291.5997141443545
538.0869565217391,291.61442220675286
542.9565217391305,291.6290911761495
547.8260869565217,291.64370896207544
552.6956521739131,291.65827738179354
557.5652173913044,291.6728219764787
562.4347826086957,291.68737742282093
567.304347826087,291.7019461706968
572.1739130434783,291.7165189304443
577.0434782608696,291.73109794522645
581.9130434782609,291.74568156115674
586.7826086956522,291.76026056719405
591.6521739130435,291.7748235226081
596.5217391304349,291.78936346665836
601.3913043478261,291.80390363085166
606.2608695652174,291.8184885504816
611.1304347826087,291.8331507120651
616.0,291.84788162473666
620.8695652173914,291.86262725147594
625.7391304347826,291.87734432185755
630.608695652174,291.8920331870861
635.4782608695652,291.9066936884522
640.3478260869566,291.92131611241086
645.2173913043479,291.93589856647066
650.0869565217391,291.9504474592645
654.9565217391305,291.96497908593716
659.8260869565217,291.9795016280937
664.6956521739131,291.9940119455361
669.5652173913044,292.00851387260565
674.4347826086957,292.0230166428185
679.304347826087,292.03754786665587
684.1739130434783,292.0521450711645
689.0434782608696,292.0668211916485
693.9130434782609,292.08156324074855
698.7826086956522,292.0963286035307
703.6521739130435,292.11107303786514
708.5217391304349,292.12577792309924
713.3913043478261,292.14042248890615
718.2608695652175,292.15498716049143
723.1304347826087,292.1694731209712
728.0,292.18391247644274
732.8695652173914,292.19835110227154
737.7391304347826,292.2128349052594
742.608695652174,292.22739618970013
747.4782608695652,292.242039033742
752.3478260869566,292.2567506153399
757.2173913043479,292.2715045039443
762.0869565217391,292.28624960287317
766.9565217391305,292.3009372199867
771.8260869565217,292.31554825252664
776.6956521739131,292.33008305489074
781.5652173913044,292.3445622267577
786.4347826086957,292.359028029419
791.304347826087,292.3734953188011
796.1739130434784,292.3879604363977
801.0434782608696,292.40245301193823
805.9130434782609,292.41701466956545
810.7826086956522,292.4316505646268
815.6521739130435,292.4463310810004
820.5217391304349,292.4610205162788
825.3913043478261,292.475701723119
830.2608695652175,292.49036591320896
835.1304347826087,292.50499671689926
840.0,292.5195475808451
844.8695652173914,292.5339910763353
