X,Y
2.57273,0.164022
3.03099,0.179661
3.38644,0.194467
3.67569,0.168632
4.18671,0.120440
4.79182,0.0909233
5.20111,0.0810598
6.03956,0.0891409
6.71537,0.0760836
7.57558,0.0636659
7.91154,0.0520242
8.30232,0.0438794
8.62879,0.0367178
9.97161,0.0313394
11.8046,0.0256088
14.0420,0.0219444
16.6232,0.0189538
18.0430,0.0183628
22.6318,0.0179317
27.7116,0.0166321
35.0962,0.0154267
41.9500,0.0139176
49.4223,0.0123587
56.8388,0.0105903
64.4295,0.00911091
72.6827,0.00765416
80.0401,0.00658492
86.8767,0.00544513
94.2972,0.00461087
101.859,0.00373802
111.631,0.00307878
121.751,0.00252579
131.515,0.00213036
142.061,0.00174081
154.195,0.00147409
165.760,0.00120932
174.788,0.00103628
186.093,0.000887995
