X,Y
2.58493,0.0574843
2.97364,0.0684246
3.47075,0.0830756
3.95432,0.0984961
4.50508,0.112243
5.23284,0.134667
5.76384,0.157781
6.89115,0.176970
7.81250,0.184106
8.43914,0.175550
9.75394,0.183352
12.0596,0.162785
14.2767,0.145678
17.1478,0.129338
19.7209,0.114835
23.8013,0.101551
28.0409,0.0890972
32.4040,0.0772478
37.9917,0.0667089
43.9017,0.0560328
54.2710,0.0424569
65.8052,0.0311671
79.0249,0.0230615
88.2817,0.0185452
102.496,0.0137769
112.857,0.0111229
126.079,0.00908746
134.868,0.00766377
147.078,0.00631123
161.174,0.00536474
174.076,0.00438311
191.671,0.00349693
