z,T
1.2173913043478262,290.4929279576602
3.6521739130434785,290.4929428875882
6.086956521739131,290.4929639475098
8.521739130434783,290.4929878210799
10.956521739130435,290.49301054123055
13.391304347826088,290.493032207626
15.82608695652174,290.4930529146553
18.26086956521739,290.49307310737197
20.695652173913047,290.493093604534
23.130434782608695,290.4931140027837
25.56521739130435,290.49313535426796
28.0,290.4931569654319
30.434782608695656,290.49317971608565
32.869565217391305,290.4932029292963
35.30434782608696,290.49322719251927
37.73913043478261,290.4932521400017
40.173913043478265,290.4932781178212
42.608695652173914,290.4933048493191
45.04347826086957,290.49333263958806
47.47826086956522,290.49336124638097
49.913043478260875,290.4933911104176
52.34782608695652,290.49342187365625
54.78260869565218,290.493453910579
57.21739130434783,290.4934868156885
59.652173913043484,290.49352100107717
62.08695652173913,290.4935562329064
64.52173913043478,290.4935927441265
66.95652173913044,290.49363051369653
69.3913043478261,290.4936695622461
71.82608695652175,290.49370990809973
74.26086956521739,290.493751393079
76.69565217391305,290.49379392236665
79.1304347826087,290.49383736990444
81.56521739130436,290.49388201071366
84.0,290.49392773491644
86.43478260869566,290.4939748589528
88.86956521739131,290.4940230347002
91.30434782608697,290.49407259960736
93.73913043478261,290.49412338817996
96.17391304347827,290.4941756531501
98.60869565217392,290.4942292659893
101.04347826086958,290.4942844480644
103.47826086956522,290.4943411377695
105.91304347826087,290.494399424579
108.34782608695653,290.49445918986567
110.78260869565219,290.4945205942979
113.21739130434783,290.49458354521397
115.65217391304348,290.4946480356495
118.08695652173914,290.4947139915826
120.5217391304348,290.4947816647742
122.95652173913044,290.49485094910875
125.3913043478261,290.4949220649145
127.82608695652175,290.4949952159907
130.2608695652174,290.49507037112346
132.69565217391306,290.4951473941309
135.13043478260872,290.4952263284902
137.56521739130434,290.49530705951065
140.0,290.4953897491117
142.43478260869566,290.4954743215018
144.8695652173913,290.4955609041923
147.30434782608697,290.4956496622369
149.73913043478262,290.49574052598325
152.17391304347828,290.49583359513474
154.60869565217394,290.4959289797249
157.04347826086956,290.4960267163756
159.47826086956522,290.496126945008
161.91304347826087,290.49623005284326
164.34782608695653,290.4963361317972
166.7826086956522,290.4964451120584
169.21739130434784,290.4965572574708
171.6521739130435,290.4966726084089
174.08695652173915,290.49679126860946
176.52173913043478,290.49691364034925
178.95652173913044,290.49704009250604
181.3913043478261,290.49717031319085
183.82608695652175,290.4973040188596
186.2608695652174,290.4974415483912
188.69565217391306,290.49758313418766
191.13043478260872,290.4977293178136
193.56521739130437,290.49788036073113
196.0,290.4980359678855
198.43478260869566,290.4981961943984
200.8695652173913,290.4983611324919
203.30434782608697,290.4985315360394
205.73913043478262,290.4987081536271
208.17391304347828,290.4988907389692
210.60869565217394,290.4990801257696
213.0434782608696,290.49927733147223
215.47826086956522,290.4994828263819
217.91304347826087,290.4996963982242
220.34782608695653,290.4999181305636
222.7826086956522,290.5001484286979
225.21739130434784,290.5003881497771
227.6521739130435,290.5006374685299
230.08695652173915,290.5008968401757
232.5217391304348,290.501167502155
234.95652173913044,290.5014502976325
237.3913043478261,290.5017464443226
239.82608695652175,290.50205684332
242.2608695652174,290.5023824574233
244.69565217391306,290.50272630733485
247.13043478260872,290.5030906625297
