kmag,energy,horiz,vertical,kol
0.008885765876316733,0.9128858192560243,0.8364983931829758,0.07638742607304841,6967.749531133207
0.0266572976289502,1.24341703023415,1.0273414246349546,0.21607560559919697,673.9374999681224
0.04442882938158367,0.7061994300612711,0.5256766143529241,0.18052281570834636,275.966106362421
0.06220036113421713,0.44871441158945036,0.3071257564150038,0.14158865517444694,156.81306030964166
0.0799718928868506,0.293295761959974,0.19023687064380665,0.10305889131616719,102.43833517568908
0.09774342463948407,0.1961995617376287,0.12290024639343898,0.07329931534418985,72.61995127678128
0.11551495639211753,0.1290227586791782,0.07872121312909278,0.05030154555008545,54.88073545389123
0.133286488144751,0.08634353188924787,0.05158017052104338,0.034763361368204744,43.346401648052215
0.15105801989738446,0.057333719036329,0.03394673397740702,0.023386985058921908,35.15191392926098
0.16882955165001792,0.03740845348913258,0.02203779316750981,0.015370660321622761,29.149442936511356
0.18660108340265139,0.024260302658688945,0.014227927227725085,0.010032375430963785,24.65795972674858
0.20437261515528488,0.015370717394053065,0.008937218948807541,0.0064334984452455585,21.186582210917003
0.22214414690791834,0.009596852732927983,0.005632593029802137,0.003964259703125876,18.4330702557414
0.2399156786605518,0.00585097811906757,0.0034080786780769996,0.002442899440990544,16.205911920941357
0.25768721041318526,0.003480611261214556,0.0020357577277833752,0.0014448535334311834,14.386661655658907
0.2754587421658187,0.0020425885613218897,0.0012048732765755725,0.0008377152847463133,12.877324238908583
0.2932302739184522,0.0011705458161652966,0.0006864235447937866,0.00048412227137150916,11.598642947145306
0.31100180567108565,0.000645635560533794,0.0003801273704927514,0.00026550819004104515,10.508875513558511
0.3287733374237191,0.00035389021995966993,0.00021062286198344043,0.00014326735797622918,9.579394066537057
0.3465448691763526,0.0001884861408465234,0.00011233334333329595,7.615279751322619e-05,8.77791909558875
0.36431640092898604,0.000100243272010332,6.0094314050392324e-05,4.014895795993934e-05,8.078371501914713
0.3820879326816195,5.3179676935630076e-05,3.210393901586371e-05,2.107573791976673e-05,7.459493867440024
0.39985946443425296,2.815674393666613e-05,1.7085086331922124e-05,1.1071657604743943e-05,6.912085780943345
0.4176309961868865,1.5155517671693421e-05,9.28743654437778e-06,5.868081127315795e-06,6.429495602636164
0.43540252793951995,8.295343405241881e-06,5.102740594508398e-06,3.192602810733435e-06,6.000695940306832
0.4531740596921534,4.6093660743929155e-06,2.845419931471012e-06,1.7639461429219133e-06,5.613228919449932
0.47094559144478687,2.6001087371132675e-06,1.6093206124493703e-06,9.90788124663895e-07,5.262556566836918
0.48871712319742033,1.4839158830706722e-06,9.118786373296118e-07,5.72037245741063e-07,4.947941813124917
0.5064886549500538,8.593257474029909e-07,5.267825113094243e-07,3.3254323609356635e-07,4.663721833347731
0.5242601867026873,4.976468188090181e-07,3.022150056188021e-07,1.9543181319021698e-07,4.402447708552151
0.5420317184553207,2.875941035111806e-07,1.728358663940423e-07,1.1475823711713838e-07,4.163106105903828
0.5598032502079542,1.6638592503009057e-07,9.837743860489359e-08,6.80084864251975e-08,3.945270655651231
0.5775747819605876,9.516432085834022e-08,5.5370833674600044e-08,3.9793487183740085e-08,3.745589228618962
0.5953463137132211,5.3213735279751994e-08,3.0417233215723494e-08,2.2796502064028235e-08,3.5608543936759234
0.6131178454658546,2.9070194294043412e-08,1.63740454221528e-08,1.2696148871890563e-08,3.3900096286782464
0.630889377218488,1.734675275227933e-08,9.580832328673074e-09,7.765920423606209e-09,3.2394859432002563
0.6486609089711215,1.2405282526397472e-08,6.774097345593556e-09,5.63118518080395e-09,3.090609941847962
0.666432440723755,8.142931219832162e-09,4.401613084944758e-09,3.741318134887404e-09,2.9534994744563794
0.6842039724763884,5.210093974815125e-09,2.7939985551482137e-09,2.416095419666902e-09,2.826068075585219
0.7019755042290219,3.2809268962422963e-09,1.7599023075182386e-09,1.5210245887240772e-09,2.707658822539242
0.7197470359816553,2.00368854195187e-09,1.0763298805356013e-09,9.273586614162751e-10,2.5974201469819707
0.7375185677342888,1.2047190215216766e-09,6.520519226166676e-10,5.526670989050092e-10,2.4939590692250153
0.7552900994869223,6.88486072789552e-10,3.7393840375655623e-10,3.14547669032993e-10,2.3965690574381466
0.7730616312395557,3.693607765996808e-10,2.0291472763812527e-10,1.6644604896155605e-10,2.305873441975853
0.7908331629921892,1.8304154755306474e-10,1.0109556698133905e-10,8.194598057172574e-11,2.2209638556740425
0.8086046947448227,8.16141296976148e-11,4.54663332025553e-11,3.614779649505932e-11,2.1406887553537173
0.8263762264974561,2.9897167209443354e-11,1.673674998025733e-11,1.3160417229185951e-11,2.0643789711294236
0.8441477582500896,7.81356644513947e-12,4.388262209801933e-12,3.425304235337532e-12,1.992604511046839
0.8619192900027232,1.2959838781341612e-12,7.325423689617729e-13,5.634415091723895e-13,1.9278488522263306
0.8796908217553565,6.768003926742762e-14,3.809345700943823e-14,2.958658225798937e-14,1.8757889353888448
