f,Suu,Svv,Sww
0.253974602539746,0.0006218263181652634,0.0007525925828492995,0.0007679928580427511
0.25417458254174585,0.0006215129601572514,0.0007522497622147109,0.0007676515561654733
0.25437456254374563,0.0006211999963903696,0.0007519073284928448,0.0007673105985333519
0.2545745425457454,0.0006208874260721167,0.0007515652809924643,0.0007669699846661394
0.25477452254774524,0.0006205752484121787,0.0007512236190240094,0.0007666297140842532
0.254974502549745,0.0006202634626224217,0.0007508823418995908,0.000766289786308777
0.25517448255174485,0.0006199520679168832,0.0007505414489329852,0.0007659502008614601
0.25537446255374463,0.0006196410635117657,0.0007502009394396293,0.0007656109572647177
0.2555744425557444,0.0006193304486254289,0.0007498608127366168,0.0007652720550416309
0.25577442255774424,0.0006190202224783808,0.0007495210681426909,0.0007649334937159467
0.255974402559744,0.0006187103842932722,0.0007491817049782417,0.0007645952728120784
0.25617438256174385,0.0006184009332948878,0.0007488427225652989,0.0007642573918551054
0.25637436256374363,0.0006180918687101392,0.0007485041202275291,0.0007639198503707739
0.2565743425657434,0.0006177831897680577,0.0007481658972902292,0.0007635826478854954
0.25677432256774324,0.0006174748956997864,0.0007478280530803217,0.0007632457839263482
0.256974302569743,0.0006171669857385731,0.000747490586926351,0.0007629092580210769
0.25717428257174285,0.0006168594591197639,0.0007471534981584766,0.0007625730696980925
0.25737426257374263,0.0006165523150807935,0.0007468167861084703,0.000762237218486472
0.2575742425757424,0.0006162455528611812,0.0007464804501097097,0.0007619017039159595
0.25777422257774224,0.0006159391717025202,0.0007461444894971738,0.0007615665255169647
0.257974202579742,0.0006156331708484739,0.0007458089036074389,0.0007612316828205636
0.25817418258174185,0.0006153275495447653,0.0007454736917786729,0.0007608971753584983
0.25837416258374163,0.000615022307039173,0.0007451388533506313,0.0007605630026631782
0.2585741425857414,0.0006147174425815215,0.0007448043876646508,0.0007602291642676777
0.25877412258774124,0.0006144129554236759,0.0007444702940636477,0.0007598956597057372
0.258974102589741,0.0006141088448195338,0.0007441365718921087,0.0007595624885117639
0.25917408259174085,0.0006138051100250192,0.0007438032204960912,0.0007592296502208302
0.25937406259374063,0.000613501750298074,0.0007434702392232146,0.0007588971443686748
0.2595740425957404,0.0006131987648986529,0.0007431376274226573,0.0007585649704917017
0.25977402259774024,0.0006128961530887159,0.000742805384445152,0.0007582331281269807
0.25997400259974,0.0006125939141322198,0.0007424735096429807,0.0007579016168122468
0.26017398260173985,0.0006122920472951135,0.0007421420023699711,0.000757570436085901
0.26037396260373963,0.0006119905518453306,0.0007418108619814898,0.0007572395854870089
0.2605739426057394,0.000611689427052781,0.0007414800878344397,0.0007569090645553012
0.26077392260773924,0.0006113886721893463,0.0007411496792872548,0.0007565788728311736
0.260973902609739,0.0006110882865288723,0.0007408196356998958,0.0007562490098556864
0.26117388261173885,0.0006107882693471609,0.0007404899564338447,0.0007559194751705646
0.26137386261373863,0.000610488619921966,0.0007401606408521008,0.000755590268318198
0.2615738426157384,0.0006101893375329844,0.0007398316883191774,0.0007552613888416395
0.26177382261773824,0.0006098904214618502,0.0007395030982010946,0.0007549328362846067
0.261973802619738,0.0006095918709921286,0.000739174869865378,0.0007546046101914814
0.26217378262173785,0.0006092936854093081,0.0007388470026810515,0.0007542767101073077
0.2623737626237376,0.0006089958640007956,0.0007385194960186339,0.0007539491355777945
0.2625737426257374,0.0006086984060559083,0.0007381923492501353,0.0007536218861493129
0.26277372262773724,0.0006084013108658673,0.0007378655617490508,0.0007532949613688969
0.262973702629737,0.0006081045777237927,0.0007375391328903585,0.0007529683607842434
0.26317368263173685,0.0006078082059246954,0.0007372130620505124,0.0007526420839437117
0.2633736626337366,0.0006075121947654713,0.0007368873486074403,0.0007523161303963235
0.2635736426357364,0.0006072165435448951,0.0007365619919405387,0.0007519904996917613
0.26377362263773624,0.0006069212515636138,0.0007362369914306669,0.0007516651913803705
0.263973602639736,0.00060662631812414,0.0007359123464601459,0.000751340205013157
0.26417358264173585,0.000606331742530846,0.0007355880564127511,0.0007510155401417879
0.2643735626437356,0.0006060375240899577,0.000735264120673709,0.0007506911963185911
0.2645735426457354,0.0006057436621095472,0.0007349405386296938,0.0007503671730965548
0.26477352264773524,0.0006054501558995276,0.0007346173096688217,0.0007500434700293278
0.264973502649735,0.0006051570047716468,0.0007342944331806484,0.0007497200866712179
0.26517348265173485,0.000604864208039481,0.0007339719085561621,0.0007493970225771925
0.2653734626537346,0.0006045717650184285,0.0007336497351877821,0.0007490742773028793
0.2655734426557344,0.0006042796750257032,0.0007333279124693534,0.0007487518504045631
0.26577342265773424,0.000603987937380329,0.0007330064397961425,0.0007484297414391884
0.265973402659734,0.0006036965514031339,0.0007326853165648324,0.0007481079499643573
0.26617338266173385,0.0006034055164167435,0.0007323645421735205,0.00074778647553833
0.2663733626637336,0.0006031148317455743,0.0007320441160217128,0.0007474653177200241
0.2665733426657334,0.0006028244967158296,0.0007317240375103202,0.0007471444760690135
0.26677332266773324,0.0006025345106554916,0.0007314043060416538,0.0007468239501455293
0.266973302669733,0.0006022448728943159,0.0007310849210194224,0.0007465037395104592
0.26717328267173285,0.0006019555827638267,0.0007307658818487265,0.0007461838437253465
0.2673732626737326,0.0006016666395973092,0.0007304471879360558,0.0007458642623523902
0.2675732426757324,0.0006013780427298047,0.0007301288386892838,0.0007455449949544437
0.26777322267773224,0.0006010897914981044,0.000729810833517665,0.0007452260410950162
0.267973202679732,0.0006008018852407441,0.0007294931718318297,0.00074490740033827
0.26817318268173185,0.0006005143232979971,0.0007291758530437805,0.0007445890722490223
0.2683731626837316,0.00060022710501187,0.0007288588765668891,0.0007442710563927432
0.2685731426857314,0.0005999402297260957,0.0007285422418158903,0.0007439533523355563
0.26877312268773124,0.000599653696786128,0.00072822594820688,0.0007436359596442371
0.268973102689731,0.0005993675055391361,0.0007279099951573104,0.000743318877886214
0.26917308269173085,0.0005990816553339983,0.0007275943820859861,0.0007430021066295663
0.2693730626937306,0.000598796145521298,0.0007272791084130602,0.0007426856454430255
0.2695730426957304,0.0005985109754533148,0.00072696417356003,0.0007423694938959738
0.26977302269773024,0.0005982261444840225,0.0007266495769497335,0.0007420536515584424
0.26997300269973,0.0005979416519690809,0.0007263353180063458,0.0007417381180011141
0.27017298270172985,0.0005976574972658311,0.0007260213961553743,0.0007414228927953202
