a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
756.0,0.0,2144.2384017536788,1707.7615982463215,90.0,10.00727279049258,5.463240715027169,-0.013964477762687407
756.0,1.0,2143.7384017536788,1708.627623650106,90.0,10.007452126393774,5.4626630011048505,-0.014786965093211334
756.0,2.0,2143.2384017536788,1709.4936490538903,90.0,10.00763146229497,5.462085287182531,-0.015609452423735258
756.0,3.0,2142.7384017536788,1710.3596744576748,90.0,10.007810798196168,5.461507573260213,-0.016431939754259182
756.0,4.0,2142.2384017536788,1711.2256998614591,90.0,10.007990134097362,5.460929859337895,-0.017254427084783114
756.0,5.0,2141.7384017536788,1712.0917252652437,90.0,10.008169469998556,5.460352145415576,-0.018076914415307038
756.0,6.0,2141.2384017536788,1712.957750669028,90.0,10.008348805899752,5.459774431493257,-0.01889940174583096
756.0,7.0,2140.7384017536788,1713.8237760728125,90.0,10.009702845139152,5.460209041199209,-0.021129352785675175
756.0,8.0,2140.2384017536788,1714.689801476597,90.0,10.011560328666357,5.461077503888706,-0.02396250255808537
756.0,9.0,2139.7384017536788,1715.5558268803813,90.0,10.013417812193559,5.461945966578202,-0.026795652330495558
756.0,10.0,2139.2384017536788,1716.4218522841659,90.0,10.015275295720762,5.4628144292676994,-0.029628802102905756
756.0,11.0,2138.7384017536788,1717.2878776879502,90.0,10.017132779247968,5.4636828919571965,-0.03246195187531595
756.0,12.0,2138.2384017536788,1718.1539030917347,90.0,10.018990262775171,5.4645513546466935,-0.03529510164772614
756.0,13.0,2137.7384017536788,1719.0199284955193,90.0,10.020979734683689,5.465690505055857,-0.03859575439196432
756.0,14.0,2137.2384017536788,1719.8859538993036,90.0,10.023167189164173,5.467235687044523,-0.04259766159394443
756.0,15.0,2136.7384017536788,1720.751979303088,90.0,10.025354643644658,5.468780869033189,-0.04659956879592454
756.0,16.0,2136.2384017536788,1721.6180047068724,90.0,10.027542098125142,5.470326051021855,-0.050601475997904655
756.0,17.0,2135.7384017536788,1722.484030110657,90.0,10.029729552605627,5.47187123301052,-0.05460338319988477
756.0,18.0,2135.2384017536788,1723.3500555144415,90.0,10.03191700708611,5.4734164149991855,-0.058605290401864886
756.0,19.0,2134.7384017536788,1724.2160809182258,90.0,10.033970826771174,5.4749753994105035,-0.062461602890244106
756.0,20.0,2134.2384017536788,1725.0821063220103,90.0,10.034821933297435,5.476658605625686,-0.06500756295621471
756.0,21.0,2133.7384017536788,1725.9481317257946,90.0,10.035673039823696,5.478341811840868,-0.06755352302218531
756.0,22.0,2133.2384017536788,1726.8141571295791,90.0,10.036524146349958,5.48002501805605,-0.07009948308815594
756.0,23.0,2132.7384017536788,1727.6801825333634,90.0,10.037375252876217,5.481708224271232,-0.07264544315412653
756.0,24.0,2132.2384017536788,1728.546207937148,90.0,10.038226359402477,5.483391430486415,-0.07519140322009715
756.0,25.0,2131.7384017536788,1729.4122333409325,90.0,10.03907746592874,5.485074636701596,-0.07773736328606776
756.0,26.0,2131.2384017536788,1730.2782587447168,90.0,10.03859547817288,5.4853558684595125,-0.07980835769365136
756.0,27.0,2130.7384017536788,1731.1442841485014,90.0,10.037780216846489,5.485286606603114,-0.0817606106866382
756.0,28.0,2130.2384017536788,1732.0103095522857,90.0,10.036964955520101,5.485217344746716,-0.08371286367962505
756.0,29.0,2129.7384017536788,1732.8763349560702,90.0,10.036149694193712,5.485148082890317,-0.08566511667261191
756.0,30.0,2129.2384017536788,1733.7423603598545,90.0,10.035334432867323,5.485078821033917,-0.08761736966559877
756.0,31.0,2128.7384017536788,1734.608385763639,90.0,10.034519171540934,5.485009559177518,-0.08956962265858563
756.0,32.0,2128.2384017536788,1735.4744111674236,90.0,10.034307286264358,5.484844142058896,-0.09114037589621501
756.0,33.0,2127.7384017536788,1736.3404365712079,90.0,10.034698777037597,5.484582569678048,-0.0923296293784869
756.0,34.0,2127.2384017536788,1737.2064619749924,90.0,10.035090267810837,5.484320997297201,-0.0935188828607588
756.0,35.0,2126.7384017536788,1738.0724873787767,90.0,10.035481758584075,5.484059424916353,-0.09470813634303066
756.0,36.0,2126.2384017536788,1738.9385127825612,90.0,10.035873249357316,5.483797852535505,-0.09589738982530255
756.0,37.0,2125.7384017536788,1739.8045381863458,90.0,10.036264740130555,5.483536280154658,-0.09708664330757444
756.0,38.0,2125.2384017536788,1740.67056359013,90.0,10.036216175719225,5.483127427515714,-0.098398742140097
756.0,39.0,2124.7384017536788,1741.5365889939146,90.0,10.034407390569632,5.482129453844383,-0.10020222237362247
756.0,40.0,2124.2384017536788,1742.402614397699,90.0,10.032598605420034,5.481131480173055,-0.10200570260714793
756.0,41.0,2123.7384017536788,1743.2686398014835,90.0,10.03078982027044,5.480133506501726,-0.10380918284067343
756.0,42.0,2123.2384017536788,1744.134665205268,90.0,10.028981035120843,5.479135532830396,-0.10561266307419889
756.0,43.0,2122.7384017536788,1745.0006906090523,90.0,10.027172249971247,5.478137559159067,-0.1074161433077244
756.0,44.0,2122.2384017536788,1745.8667160128368,90.0,10.025363464821652,5.477139585487738,-0.10921962354124987
756.0,45.0,2121.7384017536788,1746.7327414166211,90.0,10.022143271361479,5.475416070989958,-0.10868395155815418
756.0,46.0,2121.2384017536788,1747.5987668204057,90.0,10.018766254755684,5.473611940844794,-0.10788837377321167
756.0,47.0,2120.7384017536788,1748.46479222419,90.0,10.01538923814989,5.47180781069963,-0.10709279598826914
756.0,48.0,2120.2384017536788,1749.3308176279745,90.0,10.012012221544094,5.470003680554467,-0.10629721820332663
756.0,49.0,2119.7384017536788,1750.196843031759,90.0,10.008635204938301,5.468199550409304,-0.10550164041838409
756.0,50.0,2119.2384017536788,1751.0628684355434,90.0,10.005258188332506,5.466395420264141,-0.10470606263344158
756.0,51.0,2118.7384017536788,1751.9288938393279,90.0,10.00107871417125,5.464658033573431,-0.10289652436929894
756.0,52.0,2118.2384017536788,1752.7949192431122,90.0,9.996364268306353,5.462965142519025,-0.10041101245235606
756.0,53.0,2117.7384017536788,1753.6609446468967,90.0,9.991649822441452,5.461272251464617,-0.09792550053541318
756.0,54.0,2117.2384017536788,1754.526970050681,90.0,9.986935376576554,5.459579360410209,-0.0954399886184703
756.0,55.0,2116.7384017536788,1755.3929954544656,90.0,9.982220930711655,5.4578864693558025,-0.09295447670152744
