a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
882.0,0.0,2253.3576026305177,1770.7615982463215,90.0,9.974860103767922,5.474891540606824,-0.018396141820388585
882.0,1.0,2252.8576026305177,1771.627623650106,90.0,9.977350279234718,5.474711540715355,-0.02082597536915983
882.0,2.0,2252.3576026305177,1772.4936490538903,90.0,9.979840454701515,5.474531540823886,-0.023255808917931078
882.0,3.0,2251.8576026305177,1773.3596744576748,90.0,9.982330630168311,5.4743515409324175,-0.025685642466702324
882.0,4.0,2251.3576026305177,1774.2256998614591,90.0,9.984820805635108,5.47417154104095,-0.028115476015473574
882.0,5.0,2250.8576026305177,1775.0917252652437,90.0,9.987310981101905,5.473991541149481,-0.030545309564244817
882.0,6.0,2250.3576026305177,1775.957750669028,90.0,9.989801156568701,5.473811541258012,-0.03297514311301607
882.0,7.0,2249.8576026305177,1776.8237760728125,90.0,9.992519032544987,5.473695579143343,-0.03603488468987809
882.0,8.0,2249.3576026305177,1777.689801476597,90.0,9.995334494453912,5.47360706179016,-0.039364586850207654
882.0,9.0,2248.8576026305177,1778.5558268803813,90.0,9.998149956362838,5.473518544436977,-0.04269428901053722
882.0,10.0,2248.3576026305177,1779.4218522841659,90.0,10.000965418271761,5.473430027083793,-0.046023991170866786
882.0,11.0,2247.8576026305177,1780.2878776879502,90.0,10.003780880180686,5.473341509730609,-0.04935369333119635
882.0,12.0,2247.3576026305177,1781.1539030917347,90.0,10.006596342089612,5.473252992377425,-0.05268339549152592
882.0,13.0,2246.8576026305177,1782.0199284955193,90.0,10.009855511473997,5.4736764402434055,-0.05587512675937539
882.0,14.0,2246.3576026305177,1782.8859538993036,90.0,10.013780242071576,5.474867835938131,-0.05885990168850476
882.0,15.0,2245.8576026305177,1783.751979303088,90.0,10.017704972669154,5.476059231632856,-0.06184467661763412
882.0,16.0,2245.3576026305177,1784.6180047068724,90.0,10.021629703266731,5.477250627327582,-0.06482945154676348
882.0,17.0,2244.8576026305177,1785.484030110657,90.0,10.025554433864308,5.478442023022306,-0.06781422647589283
882.0,18.0,2244.3576026305177,1786.3500555144415,90.0,10.029479164461886,5.479633418717032,-0.0707990014050222
882.0,19.0,2243.8576026305177,1787.2160809182258,90.0,10.03345091469314,5.480838103454915,-0.07369960641891903
882.0,20.0,2243.3576026305177,1788.0821063220103,90.0,10.03784584162746,5.48216238958122,-0.07584268219572284
882.0,21.0,2242.8576026305177,1788.9481317257946,90.0,10.042240768561783,5.4834866757075265,-0.07798575797252665
882.0,22.0,2242.3576026305177,1789.8141571295791,90.0,10.046635695496107,5.484810961833833,-0.08012883374933046
882.0,23.0,2241.8576026305177,1790.6801825333634,90.0,10.051030622430428,5.486135247960139,-0.08227190952613425
882.0,24.0,2241.3576026305177,1791.546207937148,90.0,10.05542554936475,5.487459534086444,-0.08441498530293806
882.0,25.0,2240.8576026305177,1792.4122333409325,90.0,10.059820476299075,5.48878382021275,-0.08655806107974187
882.0,26.0,2240.3576026305177,1793.2782587447168,90.0,10.061958776598281,5.489768261389962,-0.08826512558376741
882.0,27.0,2239.8576026305177,1794.1442841485014,90.0,10.063532920238709,5.490667741329902,-0.08986318726959841
882.0,28.0,2239.3576026305177,1795.0103095522857,90.0,10.065107063879136,5.491567221269841,-0.09146124895542943
882.0,29.0,2238.8576026305177,1795.8763349560702,90.0,10.066681207519563,5.492466701209779,-0.09305931064126041
882.0,30.0,2238.3576026305177,1796.7423603598545,90.0,10.06825535115999,5.493366181149719,-0.0946573723270914
882.0,31.0,2237.8576026305177,1797.608385763639,90.0,10.069829494800418,5.494265661089658,-0.09625543401292241
882.0,32.0,2237.3576026305177,1798.4744111674236,90.0,10.069479664194134,5.49442588011391,-0.097177221715351
882.0,33.0,2236.8576026305177,1799.3404365712079,90.0,10.067205859341136,5.493846838222475,-0.09742273543437709
882.0,34.0,2236.3576026305177,1800.2064619749924,90.0,10.064932054488139,5.49326779633104,-0.09766824915340316
882.0,35.0,2235.8576026305177,1801.0724873787767,90.0,10.062658249635142,5.492688754439605,-0.09791376287242926
882.0,36.0,2235.3576026305177,1801.9385127825612,90.0,10.060384444782144,5.49210971254817,-0.09815927659145535
882.0,37.0,2234.8576026305177,1802.8045381863458,90.0,10.058110639929147,5.4915306706567355,-0.09840479031048142
882.0,38.0,2234.3576026305177,1803.67056359013,90.0,10.05490663014586,5.4906584860238805,-0.09807378872827019
882.0,39.0,2233.8576026305177,1804.5365889939146,90.0,10.047981800641406,5.488613730425344,-0.09543672594110854
882.0,40.0,2233.3576026305177,1805.402614397699,90.0,10.04105697113695,5.486568974826808,-0.09279966315394687
882.0,41.0,2232.8576026305177,1806.2686398014835,90.0,10.034132141632497,5.4845242192282715,-0.09016260036678522
882.0,42.0,2232.3576026305177,1807.134665205268,90.0,10.027207312128043,5.482479463629735,-0.08752553757962359
882.0,43.0,2231.8576026305177,1808.0006906090523,90.0,10.020282482623587,5.4804347080312,-0.08488847479246192
882.0,44.0,2231.3576026305177,1808.8667160128368,90.0,10.013357653119135,5.478389952432663,-0.08225141200530027
882.0,45.0,2230.8576026305177,1809.7327414166211,90.0,10.004051364983976,5.476077409764349,-0.08053663587917173
882.0,46.0,2230.3576026305177,1810.5987668204057,90.0,9.994480470334297,5.473735112977169,-0.07892433604871357
882.0,47.0,2229.8576026305177,1811.46479222419,90.0,9.984909575684618,5.47139281618999,-0.07731203621825539
882.0,48.0,2229.3576026305177,1812.3308176279745,90.0,9.97533868103494,5.469050519402812,-0.07569973638779721
882.0,49.0,2228.8576026305177,1813.196843031759,90.0,9.965767786385259,5.466708222615633,-0.07408743655733904
882.0,50.0,2228.3576026305177,1814.0628684355434,90.0,9.95619689173558,5.464365925828454,-0.07247513672688087
