variable,value
Time,120.00501221672383
GenPwr,4165.485407411573
RotTorq,3509.122926390373
RotSpeed,11.999973851431143
RotThrust,643.5835601417084
B1RootMxr,830086.8775319125
B1RootMyr,7869929.961198898
B1TipTDxr,4.243664707867064
BldPitch1,2.06637573525277
